unit	unit_group
#unit_to_unit_group_junctions_tables;0;db/unit_to_unit_group_junctions_tables/rhox_iee_lccp	
wh_dlc08_nor_inf_marauder_spearman_0	rhox_nor_inf_tier1
wh_main_nor_inf_chaos_marauders_0	rhox_nor_inf_tier1
wh_main_nor_inf_chaos_marauders_1	rhox_nor_inf_tier1
wh_dlc08_nor_inf_marauder_berserkers_0	rhox_nor_inf_tier2
wh_dlc08_nor_inf_marauder_champions_0	rhox_nor_inf_tier2
wh_dlc08_nor_inf_marauder_champions_1	rhox_nor_inf_tier2
wh_main_nor_cav_marauder_horsemen_0	rhox_nor_cav_tier1
wh_main_nor_cav_marauder_horsemen_1	rhox_nor_cav_tier1
wh_dlc08_nor_cav_marauder_horsemasters_0	rhox_nor_cav_tier2
wh_dlc08_nor_veh_marauder_warwolves_chariot_0	rhox_nor_chariot
wh_main_nor_cav_chaos_chariot	rhox_nor_chariot
