member	context	max_range	min_range
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/rhox_iee_lccp			
rhox_volrik_high_wom	VALUE	100	80
wh3_main_corruption_tzeentch_1-10_rhox_volrik	VALUE	10	1
wh3_main_corruption_tzeentch_11-20_rhox_volrik	VALUE	20	11
wh3_main_corruption_tzeentch_21-30_rhox_volrik	VALUE	30	21
wh3_main_corruption_tzeentch_31-40_rhox_volrik	VALUE	40	31
wh3_main_corruption_tzeentch_41-50_rhox_volrik	VALUE	50	41
wh3_main_corruption_tzeentch_51-60_rhox_volrik	VALUE	60	51
wh3_main_corruption_tzeentch_61-70_rhox_volrik	VALUE	70	61
wh3_main_corruption_tzeentch_71-80_rhox_volrik	VALUE	80	71
wh3_main_corruption_tzeentch_81-90_rhox_volrik	VALUE	90	81
wh3_main_corruption_tzeentch_91-100_rhox_volrik	VALUE	100	91
wh3_main_corruption_khorne_1-10_rhox_valbrand	VALUE	10	1
wh3_main_corruption_khorne_11-20_rhox_valbrand	VALUE	20	11
wh3_main_corruption_khorne_21-30_rhox_valbrand	VALUE	30	21
wh3_main_corruption_khorne_31-40_rhox_valbrand	VALUE	40	31
wh3_main_corruption_khorne_41-50_rhox_valbrand	VALUE	50	41
wh3_main_corruption_khorne_51-60_rhox_valbrand	VALUE	60	51
wh3_main_corruption_khorne_61-70_rhox_valbrand	VALUE	70	61
wh3_main_corruption_khorne_71-80_rhox_valbrand	VALUE	80	71
wh3_main_corruption_khorne_81-90_rhox_valbrand	VALUE	90	81
wh3_main_corruption_khorne_91-100_rhox_valbrand	VALUE	100	91
