agent_subtype	clan_name	forename	other_name	surname	agent_type	spawn_behaviour	spawn_via_ui
#unique_agents_tables;3;db/unique_agents_tables/hkrul_lccp							
hkrul_dolmance	2147358913	2670700824	2147358913	2670700823	general	FACTION_LEADER	false
hkrul_sceolan	2147358913	24555523	2147358913	2147358913	general	FACTION_LEADER	false
hkrul_orghotts	2147358913	24444424	2147358913	24444423	general	FACTION_LEADER	false
hkrul_valbrand	2147358913	6330700834	2147358913	6330700833	general	FACTION_LEADER	false
hkrul_volrik		4170700722		4170700720	general	FACTION_LEADER	false
hkrul_zach	2147358913	6670702834	2147358913	6670702833	general	FACTION_LEADER	false
hkrul_thorgar		5670700836		5670700835	general	FACTION_LEADER	false
hkrul_engra		5670700325		5670700324	general	FACTION_LEADER	false
hkrul_vroth		5670700722		5670700719	general	FACTION_LEADER	false
hkrul_burlok		1369138454		1369138455	general	FACTION_LEADER	false
hkrul_hrothyogg		1369138460			general	FACTION_LEADER	false
hkrul_rhobb	2147358913	7270717829	2147358913	7270717828	champion	FACTION_LEADER	false
hkrul_thulgrim	2147358913	7270717824	2147358913	7270717823	champion	FACTION_LEADER	false
hkrul_shaz	2147358913	7270717834	2147358913	7270717833	champion	FACTION_LEADER	false
