key	human_only	payload_base
#ritual_payloads_tables;0;db/ritual_payloads_tables/rhox_iee_lccp		
rhox_burlok_ritual_burlok_artifact_1	false	
rhox_burlok_ritual_burlok_artifact_2	false	
rhox_burlok_ritual_burlok_artifact_3	false	
rhox_burlok_ritual_burlok_artifact_4	false	
rhox_burlok_ritual_burlok_artifact_5	false	
rhox_burlok_ritual_burlok_artifact_6	false	
rhox_burlok_ritual_burlok_artifact_7	false	
rhox_burlok_ritual_burlok_artifact_8	false	
rhox_burlok_dwf_ritual_legendary_lord_burlok	false	
