character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
#campaign_mount_animation_set_overrides_tables;2;db/campaign_mount_animation_set_overrides_tables/rhox_iee_lccp			
cam_hu1d_elf_sword_and_bow	hkrul_sceolan_dragon	cam_hu1d_elf_sword_and_bow_dr1_dragon_sword_and_bow	0
cam_hu1d_elf_staff_and_sword	hef_calith_torinubar_eagle	cam_lord_hu1d_elf_bi1_eagle_wb_sword_and_staff	0
cam_hu1d_elf_staff_and_sword	hef_calith_torinubar_dragon	cam_lord_hu1d_elf_dr1_dragon_wb_sword_and_shield	0
cam_lord_hu1_liche_priest_staff_and_sword	hkrul_karitamen_horse	cam_hu1_empire_hr1_warhorse_staff_and_sword	45
cam_lord_hu1_liche_priest_staff_and_sword	hkrul_karitamen_chariot	cam_lord_hu1_liche_priest_staff_and_sword_chariot	45
cam_lord_hu1c_wh3_kislev_dual_axe	hkrul_arbaal_mounted	cam_hu1c_chaos_bc3_manticore_wb_sword_and_shield	12
cam_lord_hu1d_elf_sword_crossbow	hkrul_duriath_horse	cam_lord_hu1d_elf_hr1_warhorse_sword_crossbow	0
cam_lord_hu1d_elf_sword_crossbow	hkrul_duriath_dragon	cam_lord_hu1d_elf_dr1_dragon_wb_crossbow	0
cam_lord_hu1d_elf_sword_crossbow	hkrul_duriath_pegasus	cam_lord_hu1d_elf_hr1_pegasus_sword_and_crossbow	0
