item	set	initially_locked
#initiative_set_items_tables;1;db/initiative_set_items_tables/rhox_iee_lccp		
rhox_valbrand_faction_initiative_chs_khorne_1_army_xp	rhox_valbrand_faction_initiative_set_chs_khorne	false
rhox_valbrand_faction_initiative_chs_khorne_1_economy_post_battle_income	rhox_valbrand_faction_initiative_set_chs_khorne	false
rhox_valbrand_faction_initiative_chs_khorne_1_units_bloodletters	rhox_valbrand_faction_initiative_set_chs_khorne	false
rhox_valbrand_faction_initiative_chs_khorne_1_units_flesh_hounds	rhox_valbrand_faction_initiative_set_chs_khorne	false
rhox_valbrand_faction_initiative_chs_khorne_3_units_skullcannons	rhox_valbrand_faction_initiative_set_chs_khorne	false
rhox_valbrand_faction_initiative_chs_khorne_3_units_warshrine	rhox_valbrand_faction_initiative_set_chs_khorne	false
rhox_valbrand_faction_initiative_chs_khorne_5_units_soul_grinder	rhox_valbrand_faction_initiative_set_chs_khorne	false
rhox_valbrand_faction_initiative_chs_khorne_5_units_bloodthirsters	rhox_valbrand_faction_initiative_set_chs_khorne	false
rhox_valbrand_faction_initiative_chs_khorne_3_units_bloodbeast	rhox_valbrand_faction_initiative_set_chs_khorne	false
rhox_valbrand_faction_initiative_chs_khorne_5_units_slaughterbrute	rhox_valbrand_faction_initiative_set_chs_khorne	false
rhox_valbrand_faction_initiative_chs_undivided_1_army_marauders	rhox_valbrand_faction_initiative_set_chs_undivided	false
rhox_valbrand_faction_initiative_chs_undivided_1_economy_building	rhox_valbrand_faction_initiative_set_chs_undivided	false
rhox_valbrand_faction_initiative_chs_undivided_2_army_upgrades	rhox_valbrand_faction_initiative_set_chs_undivided	false
rhox_valbrand_faction_initiative_chs_undivided_2_xp_sharing	rhox_valbrand_faction_initiative_set_chs_undivided	false
rhox_valbrand_faction_initiative_chs_undivided_3_army_elites	rhox_valbrand_faction_initiative_set_chs_undivided	false
rhox_valbrand_faction_initiative_chs_undivided_3_units_hellcannons	rhox_valbrand_faction_initiative_set_chs_undivided	false
rhox_valbrand_faction_initiative_chs_undivided_3_units_warshrine	rhox_valbrand_faction_initiative_set_chs_undivided	false
rhox_volrik_faction_initiative_chs_undivided_1_army_marauders	rhox_volrik_faction_initiative_set_chs_undivided	false
rhox_volrik_faction_initiative_chs_undivided_1_economy_building	rhox_volrik_faction_initiative_set_chs_undivided	false
rhox_volrik_faction_initiative_chs_undivided_2_army_upgrades	rhox_volrik_faction_initiative_set_chs_undivided	false
rhox_volrik_faction_initiative_chs_undivided_2_xp_sharing	rhox_volrik_faction_initiative_set_chs_undivided	false
rhox_volrik_faction_initiative_chs_undivided_3_army_elites	rhox_volrik_faction_initiative_set_chs_undivided	false
rhox_volrik_faction_initiative_chs_undivided_3_units_hellcannons	rhox_volrik_faction_initiative_set_chs_undivided	false
rhox_volrik_faction_initiative_chs_undivided_3_units_warshrine	rhox_volrik_faction_initiative_set_chs_undivided	false
rhox_volrik_faction_initiative_chs_tzeentch_1_army_winds	rhox_volrik_faction_initiative_set_chs_tzeentch	false
rhox_volrik_faction_initiative_chs_tzeentch_1_economy_technology	rhox_volrik_faction_initiative_set_chs_tzeentch	false
rhox_volrik_faction_initiative_chs_tzeentch_1_units_pink_horrors	rhox_volrik_faction_initiative_set_chs_tzeentch	false
rhox_volrik_faction_initiative_chs_tzeentch_1_units_screamers	rhox_volrik_faction_initiative_set_chs_tzeentch	false
rhox_volrik_faction_initiative_chs_tzeentch_3_units_flamers	rhox_volrik_faction_initiative_set_chs_tzeentch	false
rhox_volrik_faction_initiative_chs_tzeentch_3_units_warshrine	rhox_volrik_faction_initiative_set_chs_tzeentch	false
rhox_volrik_faction_initiative_chs_tzeentch_5_units_lord_of_Change	rhox_volrik_faction_initiative_set_chs_tzeentch	false
rhox_volrik_faction_initiative_chs_tzeentch_5_units_soul_grinder	rhox_volrik_faction_initiative_set_chs_tzeentch	false
rhox_volrik_faction_initiative_chs_tzeentch_3_units_cockatrice	rhox_volrik_faction_initiative_set_chs_tzeentch	false
rhox_volrik_faction_initiative_chs_tzeentch_3_units_mutalith_vortex_beast	rhox_volrik_faction_initiative_set_chs_tzeentch	false
rhox_volrik_faction_initiative_chs_tzeentch_3_units_changebringers	rhox_volrik_faction_initiative_set_chs_tzeentch	false
rhox_hrothyogg_character_character_initiative_ogr_big_name_hrothyogg_1	rhox_hrothyogg_character_initiative_set_ogre_big_names_hrothyogg	true
rhox_hrothyogg_character_character_initiative_ogr_big_name_hrothyogg_2	rhox_hrothyogg_character_initiative_set_ogre_big_names_hrothyogg	true
rhox_hrothyogg_character_character_initiative_ogr_big_name_hrothyogg_3	rhox_hrothyogg_character_initiative_set_ogre_big_names_hrothyogg	true
rhox_hrothyogg_character_character_initiative_ogr_big_name_hrothyogg_4	rhox_hrothyogg_character_initiative_set_ogre_big_names_hrothyogg	true
rhox_thorgar_initiative_01	rhox_thorgar_initiative_set	true
rhox_thorgar_initiative_02	rhox_thorgar_initiative_set	true
rhox_thorgar_initiative_03	rhox_thorgar_initiative_set	true
rhox_thorgar_initiative_04	rhox_thorgar_initiative_set	true
rhox_thorgar_ascend	rhox_thorgar_ascend	true
