agent_subtype	ancillary
#ancillaries_included_agent_subtypes_tables;0;db/ancillaries_included_agent_subtypes_tables/rhox_iee_lccp	
rhox_torinubar_convoy	wh2_dlc15_anc_mount_hef_prince_griffon
rhox_torinubar_convoy	wh2_main_anc_mount_hef_prince_barded_ithilmar_steed
rhox_torinubar_convoy	wh2_main_anc_mount_hef_prince_great_eagle
rhox_torinubar_convoy	wh2_main_anc_mount_hef_prince_star_dragon
rhox_torinubar_convoy	wh2_main_anc_mount_hef_prince_sun_dragon
hef_calith_torinubar	hef_calith_torinubar_eagle
hef_calith_torinubar	hef_calith_torinubar_dragon
hkrul_sceolan	rhox_sceolan_the_buckler
hkrul_sceolan	rhox_sceolan_the_bow_of_loren
hkrul_sceolan	rhox_sceolan_dragon
hkrul_karitamen	hkrul_karitamen_horse
hkrul_karitamen	hkrul_karitamen_chariot
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_anc_mount_nor_chieftain_marauder_chariot
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_anc_mount_nor_chieftain_norscan_warhorse
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_anc_mount_nor_chieftain_war_mammoth
hkrul_volrik	hkrul_volrik_chariot
rhox_volrik_chs_sorcerer_lord_tzeentch_mtze	wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_chaos_steed
rhox_volrik_chs_sorcerer_lord_tzeentch_mtze	wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_disc
rhox_volrik_chs_sorcerer_lord_tzeentch_mtze	wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_warshrine
hkrul_duriath	hkrul_duriath_horse
hkrul_duriath	hkrul_duriath_pegasus
hkrul_duriath	hkrul_duriath_dragon
hkrul_zach	hkrul_zach_dragon
hkrul_slaurith	hkrul_slaurith_mount
