key	unbound_decision_item_type	conditionally_spawnable_force	plague	ritual	decision_interface	province_initiative	compass_direction	plague_component	plague_recipe	occupation_decision	teleportation_node_template	FIXME	culture_occupation_decision	compass_action	initiative	initiative_set
#cai_decision_items_tables;13;db/cai_decision_items_tables/rhox_volrik																
rhox_volrik_faction_initiative_chs_undivided_1_army_marauders					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_undivided_1_army_marauders	rhox_volrik_faction_initiative_set_chs_undivided
rhox_volrik_faction_initiative_chs_undivided_1_economy_building					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_undivided_1_economy_building	rhox_volrik_faction_initiative_set_chs_undivided
rhox_volrik_faction_initiative_chs_undivided_2_army_upgrades					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_undivided_2_army_upgrades	rhox_volrik_faction_initiative_set_chs_undivided
rhox_volrik_faction_initiative_chs_undivided_2_xp_sharing					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_undivided_2_xp_sharing	rhox_volrik_faction_initiative_set_chs_undivided
rhox_volrik_faction_initiative_chs_undivided_3_army_elites					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_undivided_3_army_elites	rhox_volrik_faction_initiative_set_chs_undivided
rhox_volrik_faction_initiative_chs_undivided_3_units_hellcannons					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_undivided_3_units_hellcannons	rhox_volrik_faction_initiative_set_chs_undivided
rhox_volrik_faction_initiative_chs_undivided_3_units_warshrine					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_undivided_3_units_warshrine	rhox_volrik_faction_initiative_set_chs_undivided
rhox_volrik_faction_initiative_chs_tzeentch_1_army_winds					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_tzeentch_1_army_winds	rhox_volrik_faction_initiative_set_chs_tzeentch
rhox_volrik_faction_initiative_chs_tzeentch_1_economy_technology					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_tzeentch_1_economy_technology	rhox_volrik_faction_initiative_set_chs_tzeentch
rhox_volrik_faction_initiative_chs_tzeentch_1_units_pink_horrors					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_tzeentch_1_units_pink_horrors	rhox_volrik_faction_initiative_set_chs_tzeentch
rhox_volrik_faction_initiative_chs_tzeentch_1_units_screamers					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_tzeentch_1_units_screamers	rhox_volrik_faction_initiative_set_chs_tzeentch
rhox_volrik_faction_initiative_chs_tzeentch_3_units_flamers					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_tzeentch_3_units_flamers	rhox_volrik_faction_initiative_set_chs_tzeentch
rhox_volrik_faction_initiative_chs_tzeentch_3_units_warshrine					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_tzeentch_3_units_warshrine	rhox_volrik_faction_initiative_set_chs_tzeentch
rhox_volrik_faction_initiative_chs_tzeentch_5_units_lord_of_Change					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_tzeentch_5_units_lord_of_Change	rhox_volrik_faction_initiative_set_chs_tzeentch
rhox_volrik_faction_initiative_chs_tzeentch_5_units_soul_grinder					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_tzeentch_5_units_soul_grinder	rhox_volrik_faction_initiative_set_chs_tzeentch
rhox_volrik_faction_initiative_chs_tzeentch_3_units_cockatrice					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_tzeentch_3_units_cockatrice	rhox_volrik_faction_initiative_set_chs_tzeentch
rhox_volrik_faction_initiative_chs_tzeentch_3_units_mutalith_vortex_beast					faction_initiatives							true	0		rhox_volrik_faction_initiative_chs_tzeentch_3_units_mutalith_vortex_beast	rhox_volrik_faction_initiative_set_chs_tzeentch
rhox_volrik_faction_initiative_chs_tzeentch_3_units_changebringers					faction_initiatives							false	0		rhox_volrik_faction_initiative_chs_tzeentch_3_units_changebringers	rhox_volrik_faction_initiative_set_chs_tzeentch
