key	unbound_decision_item_type	conditionally_spawnable_force	plague	ritual	decision_interface	province_initiative	compass_direction	plague_component	plague_recipe	occupation_decision	teleportation_node_template	FIXME	culture_occupation_decision	compass_action	initiative	initiative_set
#cai_decision_items_tables;13;db/cai_decision_items_tables/rhox_valbrand																
rhox_valbrand_faction_initiative_chs_undivided_1_army_marauders					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_undivided_1_army_marauders	rhox_valbrand_faction_initiative_set_chs_undivided
rhox_valbrand_faction_initiative_chs_undivided_1_economy_building					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_undivided_1_economy_building	rhox_valbrand_faction_initiative_set_chs_undivided
rhox_valbrand_faction_initiative_chs_undivided_2_army_upgrades					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_undivided_2_army_upgrades	rhox_valbrand_faction_initiative_set_chs_undivided
rhox_valbrand_faction_initiative_chs_undivided_2_xp_sharing					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_undivided_2_xp_sharing	rhox_valbrand_faction_initiative_set_chs_undivided
rhox_valbrand_faction_initiative_chs_undivided_3_army_elites					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_undivided_3_army_elites	rhox_valbrand_faction_initiative_set_chs_undivided
rhox_valbrand_faction_initiative_chs_undivided_3_units_hellcannons					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_undivided_3_units_hellcannons	rhox_valbrand_faction_initiative_set_chs_undivided
rhox_valbrand_faction_initiative_chs_undivided_3_units_warshrine					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_undivided_3_units_warshrine	rhox_valbrand_faction_initiative_set_chs_undivided
rhox_valbrand_faction_initiative_chs_khorne_1_army_xp					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_khorne_1_army_xp	rhox_valbrand_faction_initiative_set_chs_khorne
rhox_valbrand_faction_initiative_chs_khorne_1_economy_post_battle_income					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_khorne_1_economy_post_battle_income	rhox_valbrand_faction_initiative_set_chs_khorne
rhox_valbrand_faction_initiative_chs_khorne_1_units_bloodletters					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_khorne_1_units_bloodletters	rhox_valbrand_faction_initiative_set_chs_khorne
rhox_valbrand_faction_initiative_chs_khorne_1_units_flesh_hounds					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_khorne_1_units_flesh_hounds	rhox_valbrand_faction_initiative_set_chs_khorne
rhox_valbrand_faction_initiative_chs_khorne_2_army_upgrades					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_khorne_2_army_upgrades	rhox_valbrand_faction_initiative_set_chs_khorne
rhox_valbrand_faction_initiative_chs_khorne_3_characters_marking					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_khorne_3_characters_marking	rhox_valbrand_faction_initiative_set_chs_khorne
rhox_valbrand_faction_initiative_chs_khorne_3_units_skullcannons					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_khorne_3_units_skullcannons	rhox_valbrand_faction_initiative_set_chs_khorne
rhox_valbrand_faction_initiative_chs_khorne_3_units_warshrine					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_khorne_3_units_warshrine	rhox_valbrand_faction_initiative_set_chs_khorne
rhox_valbrand_faction_initiative_chs_khorne_5_units_bloodthirsters					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_khorne_5_units_bloodthirsters	rhox_valbrand_faction_initiative_set_chs_khorne
rhox_valbrand_faction_initiative_chs_khorne_5_units_soul_grinder					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_khorne_5_units_soul_grinder	rhox_valbrand_faction_initiative_set_chs_khorne
rhox_valbrand_faction_initiative_chs_khorne_3_units_bloodbeast					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_khorne_3_units_bloodbeast	rhox_valbrand_faction_initiative_set_chs_khorne
rhox_valbrand_faction_initiative_chs_khorne_5_units_slaughterbrute					faction_initiatives							true	0		rhox_valbrand_faction_initiative_chs_khorne_5_units_slaughterbrute	rhox_valbrand_faction_initiative_set_chs_khorne
