key	resource
#slot_templates_tables;0;db/slot_templates_tables/zzz_rhox_lccp_compat	
cr_major_primary_gates_of_calith_1	res_location_colony
cr_minor_primary_gates_of_calith_2	res_location_colony
cr_major_primary_ihan_1_1	
cr_minor_primary_ihan_1_2	
cr_minor_primary_ihan_1_3	
cr_major_primary_ihan_2_1	
cr_minor_primary_ihan_2_2	
cr_minor_primary_ihan_2_3	
cr_major_primary_nippon_1_1	
cr_minor_primary_nippon_1_2	
cr_major_primary_nippon_2_1	
cr_minor_primary_nippon_2_2	
cr_minor_primary_nippon_2_3	
cr_major_primary_nippon_3_1	
cr_minor_primary_nippon_3_2	
cr_minor_primary_nippon_3_3	
cr_major_primary_elithis_1_1	res_location_colony
cr_major_primary_elithis_1_2	
cr_minor_primary_elithis_1_3	
cr_major_primary_ihan_3_1	
cr_minor_primary_ihan_3_2	
cr_minor_primary_ihan_3_3	
cr_major_primary_thorkinsons_island	
cr_major_primary_genaina	
cr_minor_primary_estragons_island	
cr_minor_primary_sunken_island_of_the_gods	
cr_major_primary_zermuda	
cr_major_primary_akhaba	res_location_colony
cr_minor_primary_sud	
cr_major_primary_nippon_4_1	
cr_minor_primary_nippon_4_2	
cr_major_primary_nippon_5_1	
cr_minor_primary_nippon_5_2	
cr_minor_primary_nippon_5_3	
cr_major_primary_elithis_2_1	
cr_minor_primary_hendaye	
cr_minor_primary_tancred_castle	
cr_minor_primary_isles_of_the_monkey_king	res_location_colony
cr_major_primary_bone_island	
cr_minor_primary_elithis_1_4	
cr_minor_primary_elithis_1_5	
cr_major_primary_pridvarkar	
cr_major_primary_aranyas_glade	
cr_major_primary_rajyapuram	
cr_major_primary_temple_of_brahmir	
cr_major_primary_nandakshi	
cr_major_primary_himaranya	
cr_major_primary_temple_of_gilgadresh	
cr_major_primary_somnagiri	
cr_major_primary_eye_of_the_tiger	
cr_major_primary_chandrahara	
cr_major_primary_raakhse	
cr_minor_primary_monkeys_altar	
cr_minor_primary_pituhiccha	
cr_minor_primary_rtanagram	
cr_minor_primary_suryapuri	
cr_minor_primary_tarangnagar	
cr_major_primary_lions_den	
cr_minor_primary_caves_of_fire	
cr_minor_primary_shantivara	
cr_minor_primary_temple_of_shear_khawn	
cr_minor_primary_vajrapur	
cr_minor_primary_bandaragha	
cr_minor_primary_pubjiwanpur	
cr_minor_primary_bistdarah	
cr_minor_primary_matrdayam	
cr_minor_primary_city_of_spires	res_location_colony
cr_minor_primary_varindapur	
cr_minor_primary_vrindavanis	
cr_major_primary_lumbria_1_1	
cr_minor_primary_lumbria_1_2	
cr_minor_primary_lumbria_1_3	
cr_major_primary_monolith_of_ana_mung	
cr_major_primary_ulthspars_bloodgrounds	
cr_minor_primary_idol_of_shaarnor	
cr_major_primary_seagrave_port	
cr_major_primary_doom_crag	
cr_major_primary_xeich_lus_last_stand	
cr_major_primary_monolith_of_uzelek	
cr_major_primary_kharakorsi	
cr_major_primary_hobhome	
cr_major_primary_the_bloodrift	
cr_major_primary_city_of_splinters	
cr_major_primary_great_rasputia	
cr_minor_primary_ten_thousand_blades	
cr_minor_primary_chi_an_encampment	
cr_minor_primary_the_cauldron	
cr_minor_primary_wei_tu_encampment	
cr_minor_primary_sul_encampment	
cr_major_primary_shrine_of_ellinill	
cr_minor_primary_man_churia	
cr_minor_primary_seifan_encampment	
cr_major_primary_tomb_of_the_barking_dogs	
cr_minor_primary_wo_camp	
cr_minor_primary_kuj_encampment	
cr_minor_primary_veh_kung_encampment	
cr_minor_primary_avags_camp	
cr_major_primary_vaan_encampment	
cr_minor_primary_muhaks_encampment	
cr_minor_primary_monolith_of_seizask	
cr_major_primary_gahhuks_encampment	
cr_minor_primary_yusak_camp	
cr_minor_primary_khazags_khural	
cr_minor_primary_tokmars_encampment	
cr_minor_primary_tong_war_monolith	
cr_minor_primary_oglai_khans_folly	
cr_minor_primary_the_mawhunt	
cr_minor_primary_tsavags_forge	
cr_minor_primary_hellcade_drove	
cr_minor_primary_nine_graves	
cr_minor_primary_red_abyss	
cr_minor_primary_zerulous	
cr_minor_primary_dolgan_encampment	
cr_minor_primary_skjold	
cr_minor_primary_ihan_gate_1	res_fortress
cr_minor_primary_ihan_gate_2	res_fortress
cr_major_primary_ungvarrskarr	
cr_minor_primary_tower_of_tranquility	res_location_colony
cr_major_primary_avauka	
cr_major_primary_dai_loa	
cr_major_primary_dhaygon	
cr_major_primary_skon_basin	
cr_major_primary_ekthita	
cr_major_primary_preyveer	
cr_major_primary_nagara_ishsva	
cr_major_primary_morakot	
cr_major_primary_sanmal	
cr_major_primary_sartorn	
cr_major_primary_sanctuary_of_lies	
cr_major_primary_melay	
cr_major_primary_naknakorn	
cr_major_primary_junkselon	
cr_major_primary_santiaogou	
cr_major_primary_ronopura	
cr_major_primary_mount_ceno	
cr_major_primary_haemorrhagia	
cr_major_primary_starmetal_cemetery	
cr_major_primary_zamoski	
cr_major_primary_fort_dolganyeir	
cr_minor_primary_preenn	
cr_minor_primary_leilou	
cr_minor_primary_long_vi	
cr_minor_primary_fort_khryse	
cr_minor_primary_kuthen	
cr_minor_primary_carcosah	
cr_minor_primary_tambang	
cr_minor_primary_rekan	
cr_minor_primary_sinsay	
cr_minor_primary_sipsaat	
cr_minor_primary_phenom	
cr_minor_primary_tor_hellenar	res_location_colony
cr_minor_primary_mata_mire	
cr_minor_primary_hewn	
