effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/rhox_zach				
wh3_main_books_of_nagash_zach_reward_1	wh2_main_effect_agent_cap_increase_all_heroes	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_1	rhox_zach_books_of_nagash_empowered_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_1	wh_main_effect_agent_action_cost_mod	faction_to_character_own_unseen	-25.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_1	wh_main_effect_agent_action_success_chance	faction_to_character_own_unseen	5.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_2	wh3_main_books_of_nagash_mannfred_reward_2_campaign_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_2	rhox_zach_books_of_nagash_empowered_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_2	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	15.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_3_army	wh_main_effect_force_all_campaign_replenishment_rate	force_to_force_own	10.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_3	wh2_dlc09_books_of_nagash_reward_3_army_dummy	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_3	wh2_dlc09_books_of_nagash_reward_3_region_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_3	wh2_dlc09_effect_force_army_campaign_attrition_sandstorm_immunity	faction_to_force_own_unseen	1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_3	rhox_zach_books_of_nagash_empowered_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_4	wh2_main_effect_agent_recruitment_cost_mod_general	faction_to_province_own_unseen	-10.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_4	rhox_zach_books_of_nagash_empowered_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_4	wh_main_effect_character_wound_recovery_time_mod	faction_to_character_own_unseen	-1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_4	wh_main_faction_xp_increase_generals	faction_to_province_own_unseen	2.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_4	wh_main_faction_xp_increase_generals_hidden	faction_to_force_own_unseen	2.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_5	rhox_zach_books_of_nagash_empowered_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_5	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own_unseen	-10.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_5	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own_unseen	-5.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_5	wh_main_effect_unit_recruitment_points	faction_to_province_own_unseen	1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_6	rhox_zach_books_of_nagash_empowered_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_6	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod	faction_to_force_own_unseen	15.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_6	wh_main_effect_agent_cap_increase_wizard_necromancer	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_6	wh_main_effect_agent_enable_recruitment_wizard_vampire_counts	faction_to_province_own_unseen	1.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_7	wh2_dlc11_vmp_pooled_resource_blood_kiss_tech_dummy	faction_to_faction_own_unseen	3.0000	start_turn_completed
wh3_main_books_of_nagash_zach_reward_7	rhox_zach_books_of_nagash_empowered_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
