variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/rhox_iee_lccp_characters							
hkrul_sceolan		hkrul_sceolan		1.0000	1.1000	0.0000	
hkrul_valbrand		phy_valbrand		1.0000	1.2000	0.0000	
hkrul_volrik		volrik		1.0000	1.1700	0.0000	
hkrul_zach		hkrul_zach		1.0000	1.1600	0.0000	
hef_calith_torinubar		hef_calith_torinubar		1.0000	1.2000	0.0000	
hkrul_aelfric		aelfric		1.0000	1.2000	0.0000	
hkrul_orghotts		orghotts		1.0000	0.9000	0.0000	
hkrul_lord_slaurith		lord_slaurith		1.0000	1.0000	0.0000	
hkrul_hrothyogg		ogr_hrothyogg		1.0000	1.1500	0.0000	
hkrul_burlok		phy_burlok		1.0000	1.1500	0.0000	
hkrul_dolmance		wolf_dolmance		1.0000	1.1000	0.0000	
hkrul_thorgar		hkrul_thorgar		1.0000	1.2800	0.0000	
