upgrade_key	base_unit_group	target_unit_group	resource_cost	required_rank	subtracted_rank
#unit_upgrade_to_unit_groups_tables;3;db/unit_upgrade_to_unit_groups_tables/rhox_iee_lccp					
rhox_nor_tier1_inf_khorne	rhox_nor_inf_tier1	wh3_dlc20_chs_marauder_inf_kho	wh3_dlc20_chs_upgrade_cost_marking	0	0
rhox_nor_tier2_inf_khorne	rhox_nor_inf_tier2	wh3_dlc20_chs_warriors_kho	wh3_dlc20_chs_upgrade_cost_marking	0	0
rhox_nor_chariot_khorne	rhox_nor_chariot	wh3_dlc20_chs_chariot_kho	wh3_dlc20_chs_upgrade_cost_marking	0	0
rhox_nor_tier1_cav_khorne	rhox_nor_cav_tier1	wh3_dlc20_chs_marauder_horsemen_kho	wh3_dlc20_chs_upgrade_cost_marking	0	0
rhox_nor_tier2_cav_khorne	rhox_nor_cav_tier2	wh3_dlc20_chs_knights_kho	wh3_dlc20_chs_upgrade_cost_marking	0	0
rhox_nor_tier1_inf_tzeentch	rhox_nor_inf_tier1	wh3_dlc20_chs_marauder_inf_tze	wh3_dlc20_chs_upgrade_cost_marking	0	0
rhox_nor_tier2_inf_tzeentch	rhox_nor_inf_tier2	wh3_dlc20_chs_warriors_tze	wh3_dlc20_chs_upgrade_cost_marking	0	0
rhox_nor_chariot_tzeentch	rhox_nor_chariot	wh3_dlc20_chs_chariot_tze	wh3_dlc20_chs_upgrade_cost_marking	0	0
rhox_nor_tier1_cav_tzeentch	rhox_nor_cav_tier1	wh3_dlc20_chs_marauder_horsemen_tze	wh3_dlc20_chs_upgrade_cost_marking	0	0
rhox_nor_tier2_cav_tzeentch	rhox_nor_cav_tier2	wh3_dlc20_chs_knights_tze	wh3_dlc20_chs_upgrade_cost_marking	0	0
