key	position_x	position_y	available_contracts	active_contracts_count	rounds_to_refresh
#campaign_map_route_nodes_tables;1;db/campaign_map_route_nodes_tables/rhox_lccp_torinubar					
rhox_torinubar_start	1287	67		1	0
rhox_torinubar_network_dai_cheng	1366	384	rhox_torinubar_east	1	10
rhox_torinubar_network_beichai	1356	557	rhox_torinubar_east	1	10
rhox_torinubar_network_haichai	1348	620	rhox_torinubar_east	1	10
rhox_torinubar_network_busan	1440	589	rhox_torinubar_east	1	10
rhox_torinubar_network_north_nippon_sea	1420	286		1	0
rhox_torinubar_network_south_nippon_sea	1460	186		1	0
rhox_torinubar_network_palace_of_devine_sun	1478	215	rhox_torinubar_east	1	10
rhox_torinubar_network_malay_sea	1379	75		1	0
rhox_torinubar_network_calis_sea	1284	60		1	0
rhox_torinubar_network_the_jade_sea	1406	399		1	0
rhox_torinubar_network_red_river	1373	494		1	0
rhox_torinubar_network_northern_straits_of_the_jade_sea	1368	559		1	0
rhox_torinubar_network_fu_chow	1353	509	rhox_torinubar_east	1	10
rhox_torinubar_network_marienburg	452	652	rhox_torinubar_west	1	10
rhox_torinubar_network_southern_sea_of_chaos	430	726		1	0
rhox_torinubar_network_erengrad	639	770	rhox_torinubar_west	1	10
rhox_torinubar_network_gulf_of_kislev	594	784		1	0
rhox_torinubar_network_sea_of_claws	517	771		1	0
rhox_torinubar_network_the_albion_channel	359	710		1	0
rhox_torinubar_network_the_estalia_coastline	373	417		1	0
rhox_torinubar_network_bordeleaux	399	582	rhox_torinubar_west	1	10
rhox_torinubar_network_the_pirate_coast	492	365		1	0
rhox_torinubar_network_the_black_gulf	573	417		1	0
rhox_torinubar_network_barak_varr	675	514	rhox_torinubar_west	1	10
rhox_torinubar_network_the_eastern_isles	964	154		1	0
rhox_torinubar_network_straits_of_lothern	256	491		1	0
rhox_torinubar_network_lothern	249	513	rhox_torinubar_west	1	10
rhox_torinubar_network_tilean_sea	470	401		1	0
rhox_torinubar_network_middle_sea	382	554		1	0
rhox_torinubar_network_the_mistnar_crossing	352	618		1	0
rhox_torinubar_network_shifting_isles	335	498		1	0
rhox_torinubar_network_the_churning_gulf	556	93		1	0
rhox_torinubar_network_river_reik	486	645		1	0
rhox_torinubar_network_altdorf	527	642	rhox_torinubar_west	1	10
rhox_torinubar_network_gulf_of_medes	418	243		1	0
rhox_torinubar_network_shark_straights	433	330		1	0
rhox_torinubar_network_serpent_coast_sea	615	48		1	0
rhox_torinubar_network_miragliano	504	462	rhox_torinubar_west	1	10
rhox_torinubar_network_eastern_sea_of_dread	1178	218		1	0
rhox_torinubar_network_ind	1195	285	rhox_torinubar_east	1	10
