from	network	to	regions
#campaign_map_route_segments_tables;0;db/campaign_map_route_segments_tables/rhox_lccp_torinubar			
rhox_torinubar_start	rhox_torinubar_caravan	rhox_torinubar_network_calis_sea	rhox_torinubar_start-calis_sea
rhox_torinubar_network_calis_sea	rhox_torinubar_caravan	rhox_torinubar_network_malay_sea	rhox_torinubar_network_calis_sea-malay_sea
rhox_torinubar_network_malay_sea	rhox_torinubar_caravan	rhox_torinubar_network_south_nippon_sea	rhox_torinubar_network_malay_sea-south_nippon_sea
rhox_torinubar_network_south_nippon_sea	rhox_torinubar_caravan	rhox_torinubar_network_north_nippon_sea	rhox_torinubar_network_south_nippon_sea-north_nippon_sea
rhox_torinubar_network_north_nippon_sea	rhox_torinubar_caravan	rhox_torinubar_network_dai_cheng	rhox_torinubar_network_serpent_river-dai_cheng
rhox_torinubar_network_north_nippon_sea	rhox_torinubar_caravan	rhox_torinubar_network_the_jade_sea	rhox_torinubar_network_serpent_river-the_jade_sea
rhox_torinubar_network_the_jade_sea	rhox_torinubar_caravan	rhox_torinubar_network_red_river	rhox_torinubar_network_the_jade_sea-red_river
rhox_torinubar_network_red_river	rhox_torinubar_caravan	rhox_torinubar_network_fu_chow	rhox_torinubar_network_red_river-fu_chow
rhox_torinubar_network_red_river	rhox_torinubar_caravan	rhox_torinubar_network_northern_straits_of_the_jade_sea	rhox_torinubar_network_red_river-northern_straits_of_the_jade_sea
rhox_torinubar_network_northern_straits_of_the_jade_sea	rhox_torinubar_caravan	rhox_torinubar_network_beichai	rhox_torinubar_network_northern_straits_of_the_jade_sea-beichai
rhox_torinubar_network_northern_straits_of_the_jade_sea	rhox_torinubar_caravan	rhox_torinubar_network_haichai	rhox_torinubar_network_northern_straits_of_the_jade_sea-haichai
rhox_torinubar_network_calis_sea	rhox_torinubar_caravan	rhox_torinubar_network_the_eastern_isles	rhox_torinubar_network_the_eastern_isles-eastern_calis_sea
rhox_torinubar_network_the_eastern_isles	rhox_torinubar_caravan	rhox_torinubar_network_serpent_coast_sea	rhox_torinubar_network_serpent_coast_sea-the_eastern_isles
rhox_torinubar_network_serpent_coast_sea	rhox_torinubar_caravan	rhox_torinubar_network_the_churning_gulf	rhox_torinubar_network_the_churning_gulf-serpent_coast_sea
rhox_torinubar_network_the_churning_gulf	rhox_torinubar_caravan	rhox_torinubar_network_gulf_of_medes	rhox_torinubar_network_gulf_of_medes-the_churning_gulf
rhox_torinubar_network_gulf_of_medes	rhox_torinubar_caravan	rhox_torinubar_network_shark_straights	rhox_torinubar_network_shark_straights-gulf_of_medes
rhox_torinubar_network_shark_straights	rhox_torinubar_caravan	rhox_torinubar_network_the_pirate_coast	rhox_torinubar_network_the_pirate_coast-shark_straights
rhox_torinubar_network_shark_straights	rhox_torinubar_caravan	rhox_torinubar_network_the_estalia_coastline	rhox_torinubar_network_the_estalia_coastline-shark_straights
rhox_torinubar_network_the_estalia_coastline	rhox_torinubar_caravan	rhox_torinubar_network_middle_sea	rhox_torinubar_network_middle_sea-the_estalia_coastline
rhox_torinubar_network_middle_sea	rhox_torinubar_caravan	rhox_torinubar_network_the_mistnar_crossing	rhox_torinubar_network_the_mistnar_crossing-middle_sea
rhox_torinubar_network_middle_sea	rhox_torinubar_caravan	rhox_torinubar_network_shifting_isles	rhox_torinubar_network_middle_sea-shifting_isles
rhox_torinubar_network_shifting_isles	rhox_torinubar_caravan	rhox_torinubar_network_straits_of_lothern	rhox_torinubar_network_shifting_isles-straits_of_lothern
rhox_torinubar_network_the_mistnar_crossing	rhox_torinubar_caravan	rhox_torinubar_network_bordeleaux	rhox_torinubar_network_the_mistnar_crossing-bordeleaux
rhox_torinubar_network_the_mistnar_crossing	rhox_torinubar_caravan	rhox_torinubar_network_the_albion_channel	rhox_torinubar_network_the_albion_channel-the_mistnar_crossing
rhox_torinubar_network_the_albion_channel	rhox_torinubar_caravan	rhox_torinubar_network_southern_sea_of_chaos	rhox_torinubar_network_southern_sea_of_chaos-the_albion_channel
rhox_torinubar_network_southern_sea_of_chaos	rhox_torinubar_caravan	rhox_torinubar_network_marienburg	rhox_torinubar_network_marienburg-southern_sea_of_chaos
