child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	visible_in_ui
#technology_node_links_tables;0;db/technology_node_links_tables/rhox_beorg							
rhox_beorg_tech_nor_darklands_cathay_capital	rhox_beorg_tech_nor_darklands_hate_cathay	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_darklands_chaos_dwarfs_capital	rhox_beorg_tech_nor_darklands_hate_chaos_dwarfs	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_darklands_kislev_capital	rhox_beorg_tech_nor_darklands_hate_kislev	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_darklands_ogre_kingdoms_capital	rhox_beorg_tech_nor_darklands_hate_ogre_kingdoms	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_darklands_hate_cathay	rhox_beorg_tech_nor_darklands_starter	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_darklands_hate_chaos_dwarfs	rhox_beorg_tech_nor_darklands_starter	0	1	4	0.0000	0.0000	true
rhox_beorg_tech_nor_darklands_hate_ogre_kingdoms	rhox_beorg_tech_nor_darklands_starter	0	3	4	0.0000	0.0000	true
rhox_beorg_tech_nor_creatures_02	rhox_beorg_tech_nor_creatures_01	0	1	4	0.0000	0.0000	true
rhox_beorg_tech_nor_creatures_04	rhox_beorg_tech_nor_creatures_01	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_creatures_06	rhox_beorg_tech_nor_creatures_01	0	3	4	0.0000	0.0000	true
rhox_beorg_tech_nor_creatures_03	rhox_beorg_tech_nor_creatures_02	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_creatures_05	rhox_beorg_tech_nor_creatures_04	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_creatures_07	rhox_beorg_tech_nor_creatures_06	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_marauders_03	rhox_beorg_tech_nor_marauders_01	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_marauders_05	rhox_beorg_tech_nor_marauders_02	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_marauders_02	rhox_beorg_tech_nor_marauders_03	0	1	3	0.0000	0.0000	true
rhox_beorg_tech_nor_marauders_04	rhox_beorg_tech_nor_marauders_03	0	3	1	0.0000	0.0000	true
rhox_beorg_tech_nor_marauders_06	rhox_beorg_tech_nor_marauders_03	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_marauders_07	rhox_beorg_tech_nor_marauders_04	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_marauders_05	rhox_beorg_tech_nor_marauders_06	0	1	3	0.0000	0.0000	true
rhox_beorg_tech_nor_darklands_starter	rhox_beorg_tech_nor_nw_01	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_nw_02	rhox_beorg_tech_nor_nw_01	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_nw_04	rhox_beorg_tech_nor_nw_01	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_nw_06	rhox_beorg_tech_nor_nw_01	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_nw_08	rhox_beorg_tech_nor_nw_01	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_nw_10	rhox_beorg_tech_nor_nw_01	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_nw_20	rhox_beorg_tech_nor_nw_01	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_nw_03	rhox_beorg_tech_nor_nw_02	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_nw_05	rhox_beorg_tech_nor_nw_04	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_nw_07	rhox_beorg_tech_nor_nw_06	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_nw_09	rhox_beorg_tech_nor_nw_08	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_nw_11	rhox_beorg_tech_nor_nw_10	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_nw_21	rhox_beorg_tech_nor_nw_20	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_other_03	rhox_beorg_tech_nor_other_01	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_other_02	rhox_beorg_tech_nor_other_03	0	1	3	0.0000	0.0000	true
rhox_beorg_tech_nor_other_04	rhox_beorg_tech_nor_other_03	0	3	1	0.0000	0.0000	true
rhox_beorg_tech_nor_other_05	rhox_beorg_tech_nor_other_03	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_nw_01	rhox_beorg_tech_nor_other_05	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_other_06	rhox_beorg_tech_nor_other_05	0	1	4	0.0000	0.0000	true
rhox_beorg_tech_nor_other_13	rhox_beorg_tech_nor_other_05	0	3	4	0.0000	0.0000	true
rhox_beorg_tech_nor_other_07	rhox_beorg_tech_nor_other_06	0	1	4	0.0000	0.0000	true
rhox_beorg_tech_nor_other_09	rhox_beorg_tech_nor_other_06	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_other_11	rhox_beorg_tech_nor_other_06	0	3	4	0.0000	0.0000	true
rhox_beorg_tech_nor_other_20	rhox_beorg_tech_nor_other_06	0	1	4	0.0000	0.0000	true
rhox_beorg_tech_nor_other_08	rhox_beorg_tech_nor_other_07	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_other_10	rhox_beorg_tech_nor_other_09	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_other_12	rhox_beorg_tech_nor_other_11	0	2	4	0.0000	0.0000	true
rhox_beorg_tech_nor_darklands_hate_kislev	rhox_beorg_tech_nor_other_13	0	3	4	0.0000	0.0000	true
