faction	unit_purchasable_effect
#faction_banned_unit_purchasable_effects_tables;0;db/faction_banned_unit_purchasable_effects_tables/rhox_lccp_torinubar	
wh2_dlc15_hef_dragon_encounters	rhox_torinubar_purchase_west
wh2_dlc15_hef_imrik	rhox_torinubar_purchase_west
wh2_main_hef_avelorn	rhox_torinubar_purchase_west
wh2_main_hef_caledor	rhox_torinubar_purchase_west
wh2_main_hef_chrace	rhox_torinubar_purchase_west
wh2_main_hef_citadel_of_dusk	rhox_torinubar_purchase_west
wh2_main_hef_cothique	rhox_torinubar_purchase_west
wh2_main_hef_eataine	rhox_torinubar_purchase_west
wh2_main_hef_ellyrion	rhox_torinubar_purchase_west
wh2_main_hef_fortress_of_dawn	rhox_torinubar_purchase_west
wh2_main_hef_high_elves	rhox_torinubar_purchase_west
wh2_main_hef_high_elves_qb1	rhox_torinubar_purchase_west
wh2_main_hef_high_elves_qb2	rhox_torinubar_purchase_west
wh2_main_hef_high_elves_qb3	rhox_torinubar_purchase_west
wh2_main_hef_high_elves_qb4	rhox_torinubar_purchase_west
wh2_main_hef_high_elves_rebels	rhox_torinubar_purchase_west
wh2_main_hef_nagarythe	rhox_torinubar_purchase_west
wh2_main_hef_order_of_loremasters	rhox_torinubar_purchase_west
wh2_main_hef_saphery	rhox_torinubar_purchase_west
wh2_main_hef_tiranoc	rhox_torinubar_purchase_west
wh2_main_hef_tor_elasor	rhox_torinubar_purchase_west
wh2_main_hef_yvresse	rhox_torinubar_purchase_west
wh2_main_rogue_hef_tor_elithis	rhox_torinubar_purchase_west
mixer_hef_seadrake_exiles	rhox_torinubar_purchase_west
cr_hef_tor_elithis	rhox_torinubar_purchase_west
wh2_dlc15_hef_dragon_encounters	rhox_torinubar_purchase_east
wh2_dlc15_hef_imrik	rhox_torinubar_purchase_east
wh2_main_hef_avelorn	rhox_torinubar_purchase_east
wh2_main_hef_caledor	rhox_torinubar_purchase_east
wh2_main_hef_chrace	rhox_torinubar_purchase_east
wh2_main_hef_citadel_of_dusk	rhox_torinubar_purchase_east
wh2_main_hef_cothique	rhox_torinubar_purchase_east
wh2_main_hef_eataine	rhox_torinubar_purchase_east
wh2_main_hef_ellyrion	rhox_torinubar_purchase_east
wh2_main_hef_fortress_of_dawn	rhox_torinubar_purchase_east
wh2_main_hef_high_elves	rhox_torinubar_purchase_east
wh2_main_hef_high_elves_qb1	rhox_torinubar_purchase_east
wh2_main_hef_high_elves_qb2	rhox_torinubar_purchase_east
wh2_main_hef_high_elves_qb3	rhox_torinubar_purchase_east
wh2_main_hef_high_elves_qb4	rhox_torinubar_purchase_east
wh2_main_hef_high_elves_rebels	rhox_torinubar_purchase_east
wh2_main_hef_nagarythe	rhox_torinubar_purchase_east
wh2_main_hef_order_of_loremasters	rhox_torinubar_purchase_east
wh2_main_hef_saphery	rhox_torinubar_purchase_east
wh2_main_hef_tiranoc	rhox_torinubar_purchase_east
wh2_main_hef_tor_elasor	rhox_torinubar_purchase_east
wh2_main_hef_yvresse	rhox_torinubar_purchase_east
wh2_main_rogue_hef_tor_elithis	rhox_torinubar_purchase_east
mixer_hef_seadrake_exiles	rhox_torinubar_purchase_east
cr_hef_tor_elithis	rhox_torinubar_purchase_east
