faction	ui_feature
#ui_features_to_factions_tables;0;db/ui_features_to_factions_tables/rhox_iee_lccp	
cr_hef_gate_guards	CONVOYS
rhox_nor_firebrand_slavers	WARBANDS
rhox_nor_firebrand_slavers	NO_CLIMATES
rhox_nor_ravenblessed	WARBANDS
rhox_vmp_the_everliving	BOOKS_OF_NAGASH
rhox_brt_reveller_of_domance	WARBANDS
cr_vmp_the_everliving	BOOKS_OF_NAGASH
rhox_nor_ravenblessed	CHANGING_OF_WAYS
cr_nor_tokmars	ALLEGIANCE_TO_THE_GODS
rhox_nor_firebrand_slavers	ALLEGIANCE_TO_THE_GODS
rhox_nor_ravenblessed	ALLEGIANCE_TO_THE_GODS
rhox_nor_khazags	ALLEGIANCE_TO_THE_GODS
