member	climate
#campaign_group_member_criteria_climates_tables;0;db/campaign_group_member_criteria_climates_tables/rhox_iee_lccp	
rhox_torinubar_jungle_climate	climate_jungle
rhox_dolmance_jungle	climate_jungle
rhox_zach_jungle	climate_jungle
rhox_zach_mountain	climate_mountain
rhox_zach_wasteland	climate_wasteland
rhox_duriath_savannah	climate_savannah
rhox_duriath_jungle	climate_jungle
rhox_duriath_chaotic	climate_chaotic
rhox_karitamen_temperate_climate	climate_temperate
rhox_burlok_jungle	climate_jungle
rhox_slaurith_jungle	climate_jungle
rhox_hroth_savannah	climate_savannah
rhox_arbaal_jungle	climate_jungle
rhox_arbaal_savannah	climate_savannah
