faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character	campaign_exclusive	armory_item_set	supports_upgrades
#units_custom_battle_permissions_tables;11;db/units_custom_battle_permissions_tables/rhox_iee_lccp_characters										
wh_dlc05_wef_wood_elves	true	hkrul_sceolan	true	true	ui/portraits/portholes/wh_dlc05_wef_wood_elves/hkrul_sceolan.png	hkrul_sceolan	hkrul_sceolan	false		false
rhox_nor_firebrand_slavers	true	hkrul_valbrand	true	true	ui/portraits/portholes/no_culture/hkrul_valbrand.png	hkrul_valbrand	hkrul_valbrand	false		false
rhox_nor_ravenblessed	true	hkrul_volrik	true	true	ui/portraits/portholes/no_culture/hkrul_volrik.png	hkrul_volrik	hkrul_volrik	false		false
rhox_nor_ravenblessed	true	hkrul_volrik_mount	true	true	ui/portraits/portholes/no_culture/hkrul_volrik.png	hkrul_volrik	hkrul_volrik	false		false
rhox_nor_ravenblessed	true	hkrul_volrik_mount_2	true	true	ui/portraits/portholes/no_culture/hkrul_volrik.png	hkrul_volrik	hkrul_volrik	false		false
rhox_nor_ravenblessed	true	hkrul_volrik_mount_3	true	true	ui/portraits/portholes/no_culture/hkrul_volrik.png	hkrul_volrik	hkrul_volrik	false		false
wh_main_vmp_vampire_counts	true	hkrul_zach	true	true	ui/portraits/portholes/wh_main_vmp_vampire_counts/hkrul_zach.png	hkrul_zach	hkrul_zach	false		false
cr_hef_gate_guards	true	hef_calith_torinubar	true	true	ui/portraits/portholes/no_culture/hef_calith_torinubar.png	hef_calith_torinubar	wh2_dlc15_hef_cha_archmage_high_0	false		false
cr_hef_gate_guards	true	hef_calith_torinubar_eagle	true	true	ui/portraits/portholes/no_culture/hef_calith_torinubar.png	hef_calith_torinubar	wh2_dlc15_hef_cha_archmage_high_0	false		false
cr_hef_gate_guards	true	hef_calith_torinubar_dragon	true	true	ui/portraits/portholes/no_culture/hef_calith_torinubar.png	hef_calith_torinubar	wh2_dlc15_hef_cha_archmage_high_0	false		false
wh_dlc08_nor_norsca	true	hkrul_aelfric	true	true	ui/portraits/portholes/no_culture/hkrul_aelfric.png	hkrul_aelfric	hkrul_aelfric	false		false
cr_nur_tide_of_pestilence	true	hkrul_spew	true	true	ui/portraits/portholes/no_culture/hkrul_orghotts.png	hkrul_orghotts	hkrul_orghotts	false		false
cr_ogr_deathtoll	true	hkrul_hrothyogg	true	true	ui/portraits/portholes/no_culture/hkrul_hrothyogg.png	hkrul_hrothyogg	hkrul_hrothyogg	false		false
cr_dwf_firebeards_excavators	true	hkrul_burlok	true	true	ui/portraits/portholes/no_culture/hkrul_burlok.png	hkrul_burlok	hkrul_burlok	false		false
rhox_brt_reveller_of_domance	true	hkrul_dolmance	true	true	ui/portraits/portholes/no_culture/hkrul_dolmance.png	hkrul_dolmance	hkrul_dolmance	false		false
rhox_brt_reveller_of_domance	true	hkrul_dolmance_mount	true	true	ui/portraits/portholes/no_culture/hkrul_dolmance.png	hkrul_dolmance	hkrul_dolmance	false		false
rhox_brt_reveller_of_domance	true	hkrul_dolmance_mount_2	true	true	ui/portraits/portholes/no_culture/hkrul_dolmance.png	hkrul_dolmance	hkrul_dolmance	false		false
rhox_brt_reveller_of_domance	true	hkrul_dolmance_mount_3	true	true	ui/portraits/portholes/no_culture/hkrul_dolmance.png	hkrul_dolmance	hkrul_dolmance	false		false
rhox_nor_khazags	true	hkrul_thorgar	true	true	ui/portraits/portholes/no_culture/hkrul_thorgar.png	hkrul_thorgar	hkrul_thorgar	false		false
cr_kho_servants_of_the_blood_nagas	true	hkrul_slaurith	true	true	ui/portraits/portholes/no_culture/hkrul_slaurith.png	hkrul_slaurith	hkrul_slaurith	false		false
cr_kho_servants_of_the_blood_nagas	true	hkrul_slaurith_mount	true	true	ui/portraits/portholes/no_culture/hkrul_slaurith.png	hkrul_slaurith	hkrul_slaurith	false		false
rhox_kho_destroyers_of_khorne	true	hkrul_arbaal_mounted	true	true	ui/portraits/portholes/no_culture/hkrul_arbaal.png	hkrul_arbaal	hkrul_arbaal	false		false
rhox_chs_the_deathswords	true	hkrul_engra	true	true	ui/portraits/portholes/no_culture/hkrul_engra.png	hkrul_engra	hkrul_engra	false		false
rhox_chs_the_deathswords	true	hkrul_engra_mount	true	true	ui/portraits/portholes/no_culture/hkrul_engra.png	hkrul_engra	hkrul_engra	false		false
rhox_chs_the_deathswords	true	hkrul_engra_mount_2	true	true	ui/portraits/portholes/no_culture/hkrul_engra.png	hkrul_engra	hkrul_engra	false		false
rhox_chs_the_deathswords	true	hkrul_engra_mount_3	true	true	ui/portraits/portholes/no_culture/hkrul_engra.png	hkrul_engra	hkrul_engra	false		false
cr_nor_tokmars	true	hkrul_vroth	true	true	ui/portraits/portholes/no_culture/hkrul_vroth.png	hkrul_vroth	hkrul_vroth	false		false
cr_tmb_sons_of_ptra	true	hkrul_karitamen	true	true	ui/portraits/portholes/no_culture/hkrul_karitamen.png	hkrul_karitamen	hkrul_karitamen	false		false
cr_tmb_sons_of_ptra	true	hkrul_karitamen_horse	true	true	ui/portraits/portholes/no_culture/hkrul_karitamen.png	hkrul_karitamen	hkrul_karitamen	false		false
cr_tmb_sons_of_ptra	true	hkrul_karitamen_chariot	true	true	ui/portraits/portholes/no_culture/hkrul_karitamen.png	hkrul_karitamen	hkrul_karitamen	false		false
cr_def_corsairs_of_spite	true	hkrul_duriath	true	true	ui/portraits/portholes/no_culture/hkrul_duriath.png	hkrul_duriath	hkrul_duriath	false		false
