order	special_ability	target_self	target_friends	target_enemies	phase
#special_ability_to_special_ability_phase_junctions_tables;2;db/special_ability_to_special_ability_phase_junctions_tables/rhox_iee_lccp					
1	rhox_sceolan_ice_heart_army_ability	false	false	true	wh3_main_spell_ice_heart_of_winter_upgraded_1
2	rhox_sceolan_ice_heart_army_ability	false	false	true	wh3_main_spell_ice_heart_of_winter_upgraded_2
3	rhox_sceolan_ice_heart_army_ability	false	false	true	wh3_main_spell_ice_heart_of_winter_upgraded_3
4	rhox_sceolan_ice_heart_army_ability	false	false	true	wh3_main_spell_ice_heart_of_winter_upgraded_4
1	wh2_torinubar_kinetic_combat	true	false	false	wh2_torinubar_kinetic_combat
1	hkrul_hroth_stew	true	true	false	hkrul_hroth_stew
1	hkrul_shaz_stout	true	true	false	hkrul_shaz_stout
1	hkrul_thulgrim_time	true	false	false	hkrul_thulgrim_time
1	hkrul_rhobb_axe	true	false	false	hkrul_rhobb_axe
1	hkrul_arbaal_ruiner	true	true	false	hkrul_arbaal_ruiner
1	hkrul_arbaal_ruiner_hidden	true	true	false	hkrul_arbaal_ruiner_hidden
1	hkrul_slaurith_blood	true	false	false	hkrul_slaurith_blood
1	rhox_zach_token	true	true	false	rhox_zach_token
1	rhox_zach_dragon_blood	true	false	false	rhox_zach_dragon_blood
1	rhox_karitamen_vengence	false	false	true	rhox_karitamen_vengence
1	rhox_dolmance_harmony_in_excess	true	true	false	rhox_dolmance_harmony_in_excess
