key	owner_bundle	faction_swapping_id	hidden_settlement_override	terrain_patch_area	unnamed colour group_1
#regions_tables;0;db/regions_tables/zzz_rhox_lccp_compat					
cr_combi_region_akhaba		emp	false		6FC153
cr_combi_region_bone_island		emp	false		54FB05
cr_combi_region_elithis_1_1		emp	false		410C37
cr_combi_region_elithis_1_2		emp	false		E78BDF
cr_combi_region_elithis_1_3		emp	false		3B3B9C
cr_combi_region_elithis_1_4		emp	false		5AD007
cr_combi_region_elithis_1_5		emp	false		7B65D0
cr_combi_region_elithis_2_1		emp	false		76BE87
cr_combi_region_estragons_island		emp	false		F6DA2B
cr_combi_region_gates_of_calith_1		emp	false		942804
cr_combi_region_gates_of_calith_2		emp	false		425938
cr_combi_region_genaina		emp	false		280207
cr_combi_region_hendaye		emp	false		C7169F
cr_combi_region_ihan_1_1		emp	false		460873
cr_combi_region_ihan_1_2		emp	false		962357
cr_combi_region_ihan_1_3		emp	false		200223
cr_combi_region_ihan_2_1		emp	false		245243
cr_combi_region_ihan_2_2		emp	false		455412
cr_combi_region_ihan_2_3		emp	false		973686
cr_combi_region_ihan_3_1		emp	false		8DD92A
cr_combi_region_ihan_3_2		emp	false		21D401
cr_combi_region_ihan_3_3		emp	false		DE9C23
cr_combi_region_isles_of_the_monkey_king		emp	false		6BA814
cr_combi_region_nippon_1_1		emp	false		902A7F
cr_combi_region_nippon_1_2		emp	false		4DEAD2
cr_combi_region_nippon_2_1		emp	false		93951E
cr_combi_region_nippon_2_2		emp	false		246C1C
cr_combi_region_nippon_2_3		emp	false		B9E322
cr_combi_region_nippon_3_1		emp	false		5F1128
cr_combi_region_nippon_3_2		emp	false		D67220
cr_combi_region_nippon_3_3		emp	false		15D866
cr_combi_region_nippon_4_1		emp	false		38AC2A
cr_combi_region_nippon_4_2		emp	false		79C554
cr_combi_region_nippon_5_1		emp	false		BDEF5C
cr_combi_region_nippon_5_2		emp	false		978918
cr_combi_region_nippon_5_3		emp	false		0DAD12
cr_combi_region_sud		emp	false		E22A53
cr_combi_region_sunken_island_of_the_gods		emp	false		A2B61E
cr_combi_region_tancred_castle		emp	false		14A99F
cr_combi_region_thorkinsons_island		emp	false		2D5609
