quote	unit
#loading_screen_quotes_to_units_tables;0;db/loading_screen_quotes_to_units_tables/hkrul_valbrand	
hkrul_valbrand	hkrul_valbrand
hkrul_sceolan	hkrul_sceolan
hkrul_volrik	hkrul_volrik
hkrul_zach	hkrul_zach
hkrul_torinubar	hef_calith_torinubar
hkrul_orghotts	hkrul_spew
hkrul_hrothyogg	hkrul_hrothyogg
hkrul_burlok	hkrul_burlok
hkrul_dolmance	hkrul_dolmance
hkrul_thorgar	hkrul_thorgar
hkrul_arbaal	hkrul_arbaal_mounted
hkrul_engra	hkrul_engra
hkrul_vroth	hkrul_vroth
hkrul_karitamen	hkrul_karitamen
hkrul_duriath	hkrul_duriath
hkrul_beorg	hkrul_beorg
hkrul_aelfric	hkrul_aelfric
