unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/rhox_iee_lccp_faction_leader	
hkrul_sceolan	wh_dlc05_group_wood_elves
hkrul_sceolan_dragon	wh_dlc05_group_wood_elves
hkrul_valbrand	wh_main_group_norsca
hkrul_volrik	wh_main_group_norsca
hkrul_volrik_chariot	wh_main_group_norsca
hkrul_zach	wh_main_group_vampire_counts
hkrul_zach_dragon	wh_main_group_vampire_counts
hef_calith_torinubar	wh2_main_hef
hef_calith_torinubar_eagle	wh2_main_hef
hef_calith_torinubar_dragon	wh2_main_hef
hkrul_spew	wh3_main_nur
hkrul_dolmance	wh_main_group_bretonnia
hkrul_thorgar	wh_main_group_norsca
hkrul_thorgar_chariot	wh_main_group_norsca
hkrul_thorgar_daemon_prince	wh_main_group_norsca
hkrul_slaurith	wh3_main_kho
hkrul_slaurith_mount	wh3_main_kho
hkrul_engra	wh_main_group_chaos
hkrul_engra_horse	wh_main_group_chaos
hkrul_vroth	wh_main_group_norsca
hkrul_vroth_chariot	wh_main_group_norsca
hkrul_vroth_mammoth	wh_main_group_norsca
hkrul_karitamen	wh2_dlc09_tomb_kings
hkrul_karitamen_horse	wh2_dlc09_tomb_kings
hkrul_karitamen_chariot	wh2_dlc09_tomb_kings
hkrul_duriath	wh2_main_def
hkrul_duriath_horse	wh2_main_def
hkrul_duriath_pegasus	wh2_main_def
hkrul_duriath_dragon	wh2_main_def
hkrul_beorg	wh_main_group_norsca
hkrul_beorg_bear	wh_main_group_norsca
hkrul_aelfric	wh_main_group_chaos
hkrul_aelfric_horse	wh_main_group_chaos
