unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/rhox_iee_lccp	
hkrul_sceolan	wh_dlc05_group_wood_elves
hkrul_valbrand	wh_main_group_norsca
hkrul_volrik	wh_main_group_norsca
hkrul_volrik_mount	wh_main_group_norsca
hkrul_volrik_mount_2	wh_main_group_norsca
hkrul_volrik_mount_3	wh_main_group_norsca
hkrul_zach	wh_main_group_vampire_counts
hkrul_zach_mount	wh_main_group_vampire_counts
hkrul_zach_mount_2	wh_main_group_vampire_counts
hkrul_zach_mount_3	wh_main_group_vampire_counts
hef_calith_torinubar	wh2_main_hef
hkrul_spew	wh3_main_nur
hkrul_dolmance	wh_main_group_bretonnia
hkrul_dolmance_mount	wh_main_group_bretonnia
hkrul_dolmance_mount_2	wh_main_group_bretonnia
hkrul_dolmance_mount_3	wh_main_group_bretonnia
hkrul_thorgar	wh_main_group_norsca
hkrul_thorgar_mount	wh_main_group_norsca
hkrul_thorgar_mount_2	wh_main_group_norsca
hkrul_thorgar_mount_3	wh_main_group_norsca
hkrul_slaurith	wh3_main_kho
hkrul_slaurith_mount	wh3_main_kho
hkrul_engra	wh_main_group_chaos
hkrul_engra_mount	wh_main_group_chaos
hkrul_engra_mount_2	wh_main_group_chaos
hkrul_engra_mount_3	wh_main_group_chaos
hkrul_vroth	wh_main_group_norsca
hkrul_vroth_mount	wh_main_group_norsca
hkrul_vroth_mount_2	wh_main_group_norsca
hkrul_vroth_mount_3	wh_main_group_norsca
hkrul_karitamen	wh2_dlc09_tomb_kings
hkrul_karitamen_horse	wh2_dlc09_tomb_kings
hkrul_karitamen_chariot	wh2_dlc09_tomb_kings
