building_chain	building_instance	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	campaign	culture	faction	sub_culture	per_faction_building_limit_start	per_faction_building_limit_end	per_faction_building_minimum_discount_when_exceeding_limit_start	per_faction_building_maximum_discount_when_exceeding_limit_start	per_faction_building_minimum_discount_when_exceeding_limit_end	per_faction_building_maximum_discount_when_exceeding_limit_end	per_faction_per_building_discount_increment_when_exceeding_limit_start	per_faction_per_building_discount_increment_when_exceeding_limit_end	per_province_building_limit_start	per_province_building_limit_end	per_province_building_minimum_discount_when_exceeding_limit_start	per_province_building_maximum_discount_when_exceeding_limit_start	per_province_building_minimum_discount_when_exceeding_limit_end	per_province_building_maximum_discount_when_exceeding_limit_end	per_province_per_building_discount_increment_when_exceeding_limit_start	per_province_per_building_discount_increment_when_exceeding_limit_end	score_end_inclusive	score_or_score_start_inclusive
#cai_construction_system_building_values_tables;0;db/cai_construction_system_building_values_tables/rhox_valbrand																												
rhox_valbrand_NORSCA_beasts						cai_military_group					0	0	1000	1000	1000	1000	0	0	0	0	510	510	510	510	0	0	1100	1500
rhox_valbrand_NORSCA_chaos						cai_military_group					0	0	1000	1000	1000	1000	0	0	0	0	510	510	510	510	0	0	1100	1500
rhox_valbrand_NORSCA_creatures						cai_military_group					0	0	1000	1000	1000	1000	0	0	0	0	510	510	510	510	0	0	1100	1500
rhox_valbrand_NORSCA_loot						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	20	125
rhox_valbrand_NORSCA_military						cai_military_group					0	0	1000	1000	1000	1000	0	0	0	0	510	510	510	510	0	0	1100	1500
rhox_valbrand_NORSCA_offerings						cai_support_group					0	0	40	40	40	40	0	0	0	0	260	260	260	260	0	0	50	250
rhox_valbrand_NORSCA_slaves						cai_support_group					0	0	50	50	50	50	0	0	0	0	510	510	510	510	0	0	100	500
rhox_valbrand_NORSCA_smith						cai_military_group					0	0	1000	1000	1000	1000	0	0	0	0	510	510	510	510	0	0	1050	1250
rhox_valbrand_NORSCA_stables						cai_military_group					0	0	1000	1000	1000	1000	0	0	0	0	510	510	510	510	0	0	1100	1500
rhox_valbrand_NORSCA_walls						cai_defence_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	250
rhox_valbrand_NORSCA_walls						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	250
rhox_valbrand_NORSCA_worship						cai_support_group					-1	-1	0	0	0	0	0	0	0	0	20	20	20	20	0	0	20	125
