attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/hkrul_aelfric	
chaos_territory	hkrul_aelfric
chaos_wastes	hkrul_aelfric
mountain	hkrul_aelfric
non_vampire_territory	hkrul_aelfric
nurgle_plague	hkrul_aelfric
snow	hkrul_aelfric
chaos_territory	hkrul_aelfric_mount
chaos_wastes	hkrul_aelfric_mount
mountain	hkrul_aelfric_mount
non_vampire_territory	hkrul_aelfric_mount
nurgle_plague	hkrul_aelfric_mount
snow	hkrul_aelfric_mount
chaos_territory	hkrul_aelfric_mount_2
chaos_wastes	hkrul_aelfric_mount_2
mountain	hkrul_aelfric_mount_2
non_vampire_territory	hkrul_aelfric_mount_2
nurgle_plague	hkrul_aelfric_mount_2
snow	hkrul_aelfric_mount_2
