from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/rhox_valbrand	
rhox_valbrand_nor_settlement_major_1	rhox_valbrand_nor_settlement_major_2
rhox_valbrand_nor_settlement_major_2	rhox_valbrand_nor_settlement_major_3
rhox_valbrand_nor_settlement_major_3	rhox_valbrand_nor_settlement_major_4
rhox_valbrand_nor_settlement_major_4	rhox_valbrand_nor_settlement_major_5
rhox_valbrand_nor_beasts_1	rhox_valbrand_nor_beasts_2
rhox_valbrand_nor_beasts_2	rhox_valbrand_nor_beasts_3
rhox_valbrand_nor_worship_1	rhox_valbrand_nor_worship_2
rhox_valbrand_nor_worship_2	rhox_valbrand_nor_worship_3
rhox_valbrand_nor_chaos_1	rhox_valbrand_nor_chaos_2
rhox_valbrand_nor_chaos_1	rhox_valbrand_nor_chaos_2b
rhox_valbrand_nor_chaos_2	rhox_valbrand_nor_chaos_3
rhox_valbrand_nor_creatures_0	rhox_valbrand_nor_creatures_1
rhox_valbrand_nor_creatures_1	rhox_valbrand_nor_creatures_2
rhox_valbrand_nor_creatures_1	rhox_valbrand_nor_creatures_2b
rhox_valbrand_nor_creatures_2	rhox_valbrand_nor_creatures_3
rhox_valbrand_nor_loot_1	rhox_valbrand_nor_loot_2
rhox_valbrand_nor_loot_1	rhox_valbrand_nor_loot_2b
rhox_valbrand_nor_loot_2b	rhox_valbrand_nor_loot_3b
rhox_valbrand_nor_loot_2	rhox_valbrand_nor_loot_3
rhox_valbrand_nor_military_1	rhox_valbrand_nor_military_2
rhox_valbrand_nor_military_2	rhox_valbrand_nor_military_3b
rhox_valbrand_nor_military_2	rhox_valbrand_nor_military_3
rhox_valbrand_nor_military_3	rhox_valbrand_nor_military_4
rhox_valbrand_nor_offerings_1	rhox_valbrand_nor_offerings_2b
rhox_valbrand_nor_offerings_1	rhox_valbrand_nor_offerings_2
rhox_valbrand_nor_offerings_2	rhox_valbrand_nor_offerings_3
rhox_valbrand_nor_slaves_1	rhox_valbrand_nor_slaves_2
rhox_valbrand_nor_slaves_2	rhox_valbrand_nor_slaves_3
rhox_valbrand_nor_slaves_3	rhox_valbrand_nor_slaves_4
rhox_valbrand_nor_smith_1	rhox_valbrand_nor_smith_2
rhox_valbrand_nor_smith_2	rhox_valbrand_nor_smith_3
rhox_valbrand_nor_stables_1	rhox_valbrand_nor_stables_2
rhox_valbrand_nor_stables_2	rhox_valbrand_nor_stables_3
rhox_valbrand_nor_walls_1	rhox_valbrand_nor_walls_2
rhox_valbrand_nor_walls_2	rhox_valbrand_nor_walls_3
rhox_valbrand_nor_walls_3	rhox_valbrand_nor_walls_4
