from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/rhox_torinubar	
rhox_torinubar_sound_toll_1	rhox_torinubar_sound_toll_2
rhox_torinubar_sound_toll_2	rhox_torinubar_sound_toll_3
rhox_torinubar_east_foreign_1	rhox_torinubar_east_foreign_2
rhox_torinubar_east_foreign_2	rhox_torinubar_east_foreign_3
rhox_torinubar_east_foreign_3	rhox_torinubar_east_foreign_4
rhox_torinubar_east_foreign_4	rhox_torinubar_east_foreign_5
rhox_torinubar_west_foreign_1	rhox_torinubar_west_foreign_2
rhox_torinubar_west_foreign_2	rhox_torinubar_west_foreign_3
rhox_torinubar_west_foreign_3	rhox_torinubar_west_foreign_4
rhox_torinubar_west_foreign_4	rhox_torinubar_west_foreign_5
