member	agent_subtype
#campaign_group_member_criteria_agent_subtypes_tables;0;db/campaign_group_member_criteria_agent_subtypes_tables/rhox_iee_lccp	
rhox_valbrand_camp_valbrand	hkrul_valbrand
rhox_valbrand_camp_stance_horde	rhox_valbrand_nor_marauder_chieftain_horde
rhox_valbrand_camp_stance_valbrand	hkrul_valbrand
rhox_torinubar_caravan_stance	rhox_torinubar_convoy
rhox_hrothyogg_recruiter	rhox_hrothyogg_recruiter
rhox_hrothyogg_character_initiative_set_ogre_big_names_hrothyogg	hkrul_hrothyogg
rhox_thorgar_initiative_set	hkrul_thorgar
rhox_thorgar_ascend	hkrul_thorgar
rhox_duriath_character_bound_horde	hkrul_duriath
wh3_dlc20_character_initiative_set_lord_upgrades_engra	wh_main_chs_lord
wh3_dlc20_character_initiative_set_exalted_hero_upgrades_engra	wh_main_chs_exalted_hero
wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_death_engra	wh_main_chs_chaos_sorcerer_death
wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_shadows_engra	wh_dlc07_chs_chaos_sorcerer_shadow
wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_fire_engra	wh_main_chs_chaos_sorcerer_fire
wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_metal_engra	wh_main_chs_chaos_sorcerer_metal
wh3_dlc20_character_initiative_set_sorcerer_lord_death_shadows_upgrades_death_engra	wh_dlc01_chs_sorcerer_lord_death
wh3_dlc20_character_initiative_set_sorcerer_lord_death_shadows_upgrades_shadows_engra	wh_dlc07_chs_sorcerer_lord_shadow
wh3_dlc20_character_initiative_set_sorcerer_lord_fire_metal_upgrades_fire_engra	wh_dlc01_chs_sorcerer_lord_fire
wh3_dlc20_character_initiative_set_sorcerer_lord_fire_metal_upgrades_metal_engra	wh_dlc01_chs_sorcerer_lord_metal
rhox_hrothyogg_offering_1	hkrul_hrothyogg
rhox_hrothyogg_offering_2	hkrul_hrothyogg
rhox_hrothyogg_offering_3	hkrul_hrothyogg
rhox_hrothyogg_offering_4	hkrul_hrothyogg
wh3_dlc20_character_initiative_set_lord_upgrades_aelfric	wh_main_chs_lord
wh3_dlc20_character_initiative_set_exalted_hero_upgrades_aelfric	wh_main_chs_exalted_hero
wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_death_aelfric	wh_main_chs_chaos_sorcerer_death
wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_shadows_aelfric	wh_dlc07_chs_chaos_sorcerer_shadow
wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_fire_aelfric	wh_main_chs_chaos_sorcerer_fire
wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_metal_aelfric	wh_main_chs_chaos_sorcerer_metal
wh3_dlc20_character_initiative_set_sorcerer_lord_death_shadows_upgrades_death_aelfric	wh_dlc01_chs_sorcerer_lord_death
wh3_dlc20_character_initiative_set_sorcerer_lord_death_shadows_upgrades_shadows_aelfric	wh_dlc07_chs_sorcerer_lord_shadow
wh3_dlc20_character_initiative_set_sorcerer_lord_fire_metal_upgrades_fire_aelfric	wh_dlc01_chs_sorcerer_lord_fire
wh3_dlc20_character_initiative_set_sorcerer_lord_fire_metal_upgrades_metal_aelfric	wh_dlc01_chs_sorcerer_lord_metal
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_aelfric_death	wh_dlc01_chs_sorcerer_lord_death
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_aelfric_fire	wh_dlc01_chs_sorcerer_lord_fire
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_aelfric_metal	wh_dlc01_chs_sorcerer_lord_metal
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_aelfric_shadows	wh_dlc07_chs_sorcerer_lord_shadow
wh3_dlc20_character_initiative_set_sorcerer_upgrades_aelfric_death	wh_main_chs_chaos_sorcerer_death
wh3_dlc20_character_initiative_set_sorcerer_upgrades_aelfric_fire	wh_main_chs_chaos_sorcerer_fire
wh3_dlc20_character_initiative_set_sorcerer_upgrades_aelfric_metal	wh_main_chs_chaos_sorcerer_metal
wh3_dlc20_character_initiative_set_sorcerer_upgrades_aelfric_shadows	wh_dlc07_chs_chaos_sorcerer_shadow
