key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander	can_be_dismantled
#building_chains_tables;9;db/building_chains_tables/rhox_valbrand									
rhox_valbrand_NORSCA_beasts			military	false	wh2_main_sch_military3_warmachines		3		true
rhox_valbrand_NORSCA_chaos			military	false	wh2_main_sch_military4_monsters		5		true
rhox_valbrand_NORSCA_creatures			military	false	wh2_main_sch_military5		4		true
rhox_valbrand_NORSCA_loot			money	false	wh2_main_sch_infrastructure1_farm		9		true
rhox_valbrand_NORSCA_military			military	true	wh2_main_sch_military1_barracks		0		true
rhox_valbrand_NORSCA_offerings			military	false	wh2_main_sch_support2_worship		7		true
rhox_valbrand_NORSCA_settlement_major			military	true	wh_main_sch_main_settlement		0		true
rhox_valbrand_NORSCA_slaves			money	false	wh2_main_sch_infrastructure2_industry		10		true
rhox_valbrand_NORSCA_smith			military	true	wh2_main_sch_support1_smith		0		true
rhox_valbrand_NORSCA_stables			military	true	wh2_main_sch_military2_stables		0		true
rhox_valbrand_NORSCA_walls			military	false	wh_main_sch_norsca_walls		8		true
rhox_valbrand_NORSCA_worship			money	true	wh2_main_sch_infrastructure3_order		4		true
