set	item	mod_disabled
#character_skill_node_set_items_tables;0;db/character_skill_node_set_items_tables/rhox_valbrand_marauder_horde_chieftain		
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_01	false
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_02	false
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_03	false
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_04	false
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_05	false
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_06	false
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_07	false
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_08	false
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_09	false
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_10	false
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_11	false
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_12	false
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_13	false
rhox_valbrand_nor_marauder_chieftain_horde	wh2_dlc11_skill_node_nor_marauder_chieftain_battle_14	false
rhox_valbrand_nor_marauder_chieftain_horde	wh3_dlc24_skill_node_all_mentor	false
rhox_valbrand_nor_marauder_chieftain_horde	wh3_main_agent_action_scaling_wh_dlc08_skill_node_set_nor_marauder_chieftain	false
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_skill_node_nor_marauder_chieftan_campaign_01	false
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_skill_node_nor_marauder_chieftan_campaign_02	false
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_skill_node_nor_marauder_chieftan_campaign_03	false
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_skill_node_nor_marauder_chieftan_campaign_04	false
rhox_valbrand_nor_marauder_chieftain_horde	rhox_nor_skill_node_camp_growth	false
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_skill_node_nor_marauder_chieftan_campaign_06	false
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_skill_node_nor_marauder_chieftan_campaign_07	false
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_skill_node_nor_marauder_chieftan_campaign_08	false
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_skill_node_nor_marauder_chieftan_campaign_09	false
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_skill_node_nor_marauder_chieftan_campaign_10	false
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_skill_node_nor_marauder_chieftan_campaign_11	false
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_skill_node_nor_marauder_chieftan_self_a_01	false
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_skill_node_nor_marauder_chieftan_self_a_02	false
rhox_valbrand_nor_marauder_chieftain_horde	wh_dlc08_skill_node_nor_marauder_chieftan_self_a_03	false
