recharge_context	special_ability
#special_ability_to_recharge_contexts_tables;0;db/special_ability_to_recharge_contexts_tables/hkrul_lccp	
morale_is_higher_than_wavering	hkrul_beorg_sword
morale_is_higher_than_wavering	hkrul_dolmance_sword
engaged_in_melee	hkrul_engra_sword
friendly_battle_leader_not_killed_or_routed	hkrul_oerl_horn
morale_is_higher_than_wavering	hkrul_sceolan_sword
winning_melee_combat	hkrul_thorgar_flail
morale_is_higher_than_wavering	hkrul_valbrand_sword
morale_is_higher_than_wavering	hkrul_volrik_claw
morale_is_higher_than_wavering	hkrul_zach_sword
engaged_in_melee	hkrul_beorg_claw
morale_is_higher_than_wavering	hkrul_aelfric_sword
