bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/rhox_iee_lccp	
armour_piercing	rhox_hrothyogg_ogr_inf_maneaters_0
ogre_charge	rhox_hrothyogg_ogr_inf_maneaters_0
armour_piercing	rhox_hrothyogg_ogr_inf_maneaters_1
ogr_ironfist	rhox_hrothyogg_ogr_inf_maneaters_1
ogre_charge	rhox_hrothyogg_ogr_inf_maneaters_1
anti_large	rhox_hrothyogg_ogr_inf_maneaters_2
armour_piercing	rhox_hrothyogg_ogr_inf_maneaters_2
ogre_charge	rhox_hrothyogg_ogr_inf_maneaters_2
armour_piercing	rhox_hrothyogg_ogr_inf_maneaters_3
fire_whilst_moving	rhox_hrothyogg_ogr_inf_maneaters_3
hybrid	rhox_hrothyogg_ogr_inf_maneaters_3
ogre_charge	rhox_hrothyogg_ogr_inf_maneaters_3
