bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/rhox_iee_lccp_leaders	
frostbite	hkrul_aelfric
melee_expert	hkrul_aelfric
shielded	hkrul_aelfric
frostbite	hkrul_aelfric_horse
melee_expert	hkrul_aelfric_horse
shielded	hkrul_aelfric_horse
duellist	hkrul_dolmance
melee_expert	hkrul_dolmance
armour_piercing	hkrul_engra
melee_expert	hkrul_engra
armour_piercing	hkrul_engra_horse
melee_expert	hkrul_engra_horse
armour_piercing	hkrul_slaurith
melee_expert	hkrul_slaurith
anti_infantry	hkrul_slaurith
armour_piercing	hkrul_slaurith_mount
armoured	hkrul_slaurith_mount
scaly_skin	hkrul_slaurith_mount
terror	hkrul_slaurith_mount
armour_piercing	hkrul_thorgar
armoured	hkrul_thorgar
melee_expert	hkrul_thorgar
anti_infantry	hkrul_thorgar_chariot
melee_expert	hkrul_thorgar_chariot
terror	hkrul_thorgar_daemon_prince
melee_expert	hkrul_thorgar_daemon_prince
duellist	hkrul_valbrand
hkrul_valbrand	hkrul_valbrand
anti_infantry	hkrul_valbrand
barrier	hkrul_volrik
anti_infantry	hkrul_volrik
anti_infantry	hkrul_volrik_chariot
armoured	hkrul_volrik_chariot
barrier	hkrul_volrik_chariot
anti_large	hkrul_vroth
ranged_attack	hkrul_vroth
decent_melee	hkrul_vroth
anti_infantry	hkrul_vroth_chariot
ranged_attack	hkrul_vroth_chariot
decent_melee	hkrul_vroth_chariot
anti_infantry	hkrul_vroth_mammoth
damage_dealer	hkrul_vroth_mammoth
terror	hkrul_vroth_mammoth
spellcaster	hkrul_zach
anti_infantry	hkrul_zach
armour_piercing	hkrul_zach_dragon
armoured	hkrul_zach_dragon
scaly_skin	hkrul_zach_dragon
spellcaster	hkrul_zach_dragon
anti_infantry	hkrul_arbaal_mounted
armour_piercing	hkrul_arbaal_mounted
armoured	hkrul_arbaal_mounted
frenzy	hkrul_arbaal_mounted
anti_infantry	rhox_arbaal_spawn
flaming_attacks	rhox_arbaal_spawn
frenzy	rhox_arbaal_spawn
unbreakable	rhox_arbaal_spawn
armour_piercing	hkrul_hrothyogg
ogre_charge	hkrul_hrothyogg
melee_expert	hkrul_hrothyogg
anti_large	hkrul_hrothyogg_crusher
armour_piercing	hkrul_hrothyogg_crusher
armoured	hkrul_hrothyogg_crusher
ogre_charge	hkrul_hrothyogg_crusher
armoured	hkrul_spew
poison	hkrul_spew
anti_infantry	hkrul_spew_rider
poison	hkrul_spew_rider
damage_dealer	hkrul_sceolan
melee_expert	hkrul_sceolan
armoured	hkrul_sceolan
forest_spirit	hkrul_sceolan_dragon
poison	hkrul_sceolan_dragon
scaly_skin	hkrul_sceolan_dragon
terror	hkrul_sceolan_dragon
spellcaster	hkrul_karitamen
armour_piercing	hkrul_karitamen
armour_piercing	hkrul_karitamen_horse
spellcaster	hkrul_karitamen_horse
anti_infantry	hkrul_karitamen_chariot
armoured	hkrul_karitamen_chariot
spellcaster	hkrul_karitamen_chariot
armour_piercing_ranged	hkrul_duriath
armoured	hkrul_duriath
armour_piercing_ranged	hkrul_duriath_horse
armoured	hkrul_duriath_horse
very_fast	hkrul_duriath_horse
armour_piercing	hkrul_duriath_dragon
armoured	hkrul_duriath_dragon
dragon_breath_noxious	hkrul_duriath_dragon
terror	hkrul_duriath_dragon
armour_piercing_ranged	hkrul_duriath_pegasus
armoured	hkrul_duriath_pegasus
very_fast	hkrul_duriath_pegasus
spellcaster	hef_calith_torinubar
melee_expert	hef_calith_torinubar
spellcaster	hef_calith_torinubar_eagle
very_fast	hef_calith_torinubar_eagle
spellcaster	hef_calith_torinubar_dragon
armour_piercing	hef_calith_torinubar_dragon
armoured	hef_calith_torinubar_dragon
dragon_breath_star	hef_calith_torinubar_dragon
terror	hef_calith_torinubar_dragon
charge_reflector	hkrul_burlok
melee_expert	hkrul_burlok
