category	icon_path
#trait_categories_tables;0;db/trait_categories_tables/rhox_iee_lccp	
hkrul_sceolan	ui/campaign ui/skills/innate_sceolan.png
hkrul_valbrand	ui/campaign ui/skills/innate_valbrand.png
hkrul_volrik	ui/campaign ui/skills/innate_volrik.png
hkrul_zach	ui/campaign ui/skills/innate_zach.png
hkrul_dolmance	ui/campaign ui/skills/innate_hkrul_dolmance.png
hkrul_thorgar	ui/campaign ui/skills/innate_thorgar.png
hkrul_engra	ui/campaign ui/skills/innate_hkrul_engra.png
hkrul_hrothyogg	ui/campaign ui/skills/innate_hkrul_hroth.png
hkrul_orghotts	ui/campaign ui/skills/innate_spew.png
hkrul_aelfric	ui/campaign ui/skills/innate_aelfric.png
hkrul_burlok	ui/campaign ui/skills/innate_hkrul_burlok.png
hkrul_slaurith	ui/campaign ui/skills/innate_hkrul_slaurith.png
hkrul_arbaal	ui/campaign ui/skills/innate_hkrul_arbaal.png
hkrul_vroth	ui/campaign ui/skills/innate_hkrul_vroth.png
hkrul_karitamen	ui/campaign ui/skills/innate_hkrul_kita.png
