ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/rhox_iee_lccp	
rhox_sceolan_ice_heart_army_ability	wh_dlc08_direct_damage_medium_unit
rhox_arbaal_spawn_spawn	rhox_arbaal_turns_into_spawn
rhox_arbaal_spawn_spawn	rhox_arbaal_serious_campaign_debuff
rhox_arbaal_spawn_spawn	wh2_main_all_huge_static_aoe
wh2_torinubar_kinetic_wave	wh2_main_all_magical_damage_moderate
wh2_torinubar_kinetic_wave	wh2_main_all_weak_against_armour
wh2_torinubar_kinetic_wave	wh2_main_spell_friendly_fire_explosion
wh2_torinubar_kinetic_wave	wh_main_all_poor_vs_large
rhox_sceolan_bound_blizzard	wh_main_vortex_large_static_aoe
rhox_duriath_pour_everything	wh_main_all_magical
rhox_duriath_pour_everything	wh_main_all_strong_against_multiple
rhox_duriath_pour_everything	wh_main_all_weak_against_single
rhox_duriath_pour_everything	wh_main_bombardment_small_strike_aoe
rhox_karitamen_vengence	wh_dlc08_direct_damage_massive_unit
rhox_karitamen_vengence	wh_main_all_direct_damage
