ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/hkrul_lccp	
hkrul_sceolan_helm	wh_main_all_replenish_burst
hkrul_sceolan_blast	wh2_main_spell_friendly_fire_explosion
hkrul_spew_bombard	wh2_dlc12_spell_friendly_fire_aoe
hkrul_spew_bombard	wh2_main_all_magical_damage_moderate
hkrul_spew_bombard	wh2_main_all_weak_against_armour
hkrul_spew_bombard	wh_main_all_weak_against_single
hkrul_spew_bombard	wh_main_bombardment_large_strike_aoe
hkrul_spew_bombard	wh_main_spell_upgraded_projectiles
hkrul_spew_spoiled	wh3_main_ability_intensity_kills
hkrul_arbaal_ruiner	wh3_main_ability_intensity_kills
hkrul_arbaal_ruiner	hkrul_arbaal_destroyer
hkrul_slaurith_blood	wh3_dlc20_ability_intensity_time_in_melee
hkrul_kita_bombard	wh2_dlc12_spell_friendly_fire_aoe
hkrul_kita_bombard	wh2_main_all_magical_damage_moderate
hkrul_kita_bombard	wh2_main_all_weak_against_armour
hkrul_kita_bombard	wh_main_all_weak_against_single
hkrul_kita_bombard	wh_main_bombardment_large_strike_aoe
hkrul_kita_bombard	wh_main_spell_upgraded_projectiles
