key	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
#unit_abilities_tables;17;db/unit_abilities_tables/hkrul_lccp											
hkrul_sceolan_helm	true	hkrul_sceolan_helm		wh_type_regeneration		wh_main_anc_group_unique	true	false	passive		false
hkrul_sceolan_pal	true	hkrul_sceolan_pal		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	passive		false
hkrul_sceolan_sword	true	hkrul_sceolan_sword		wh_type_augment		wh_main_anc_group_rare	true	false	active		false
hkrul_spew_bombard	true	hkrul_spew_axed		wh_type_bombardment		wh_main_anc_group_unique	true	false	bound		false
hkrul_spew_spoiled	true	hkrul_spew_spoiled		wh_type_area_of_hexes		wh_main_anc_group_rare	true	false	passive		false
hkrul_spew_riders	true	hkrul_spew_riders		wh_type_augment		wh_main_anc_group_uncommon	true	false	passive		false
hkrul_shaz_stout	true	hkrul_shaz_stout		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	active		false
hkrul_thulgrim_time	true	hkrul_thulgrim_time		wh_type_augment		wh_main_anc_group_rare	true	false	active		false
hkrul_rhobb_axe	true	hkrul_rhobb_axe		wh_type_augment		wh_main_anc_group_rare	true	false	active		false
hkrul_slaurith_blood	true	hkrul_slaurith_army		wh_type_augment		wh_main_anc_group_rare	true	false	passive		false
hkrul_burlok_hammer	true	hkrul_burlok_hammer		wh_type_explosion		wh_main_anc_group_rare	true	false	active		false
hkrul_burlok_arm	true	hkrul_burlok_arm		wh_type_augment		wh_main_anc_group_rare	true	false	active		false
