level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value	resource_transaction_on_complete	split_chain_sort_order
#building_levels_tables;2;db/building_levels_tables/rhox_valbrand																									
rhox_valbrand_nor_beasts_1	rhox_valbrand_NORSCA_beasts	0	1	500	0		false	false			true	wh_main_NORSCA_beasts	true	0.0000	0	true	0		true	0	0		0		-1
rhox_valbrand_nor_beasts_2	rhox_valbrand_NORSCA_beasts	1	3	1000	0		false	false			true	wh_main_NORSCA_beasts	true	0.0000	0	true	1		true	0	0		0		-1
rhox_valbrand_nor_beasts_3	rhox_valbrand_NORSCA_beasts	2	4	2000	0		false	false			true	wh_main_NORSCA_beasts	true	0.0000	0	true	2		true	0	0		0		-1
rhox_valbrand_nor_chaos_3	rhox_valbrand_NORSCA_chaos	2	5	7000	0		false	false			true	wh_main_NORSCA_chaos	true	0.0000	0	true	4		true	0	0		0		1
rhox_valbrand_nor_chaos_1	rhox_valbrand_NORSCA_chaos	0	3	3500	0		false	false			true	wh_main_NORSCA_chaos	true	0.0000	0	true	2		true	0	0		0		-1
rhox_valbrand_nor_chaos_2	rhox_valbrand_NORSCA_chaos	1	4	5000	0		false	false			true	wh_main_NORSCA_chaos	true	0.0000	0	true	3		true	0	0		0		-1
rhox_valbrand_nor_chaos_2b	rhox_valbrand_NORSCA_chaos	1	3	0	0		false	false			true	wh_main_NORSCA_chaos	true	0.0000	0	true	3		true	0	0	wh3_dlc27_nor_spoils_building_750	0		2
rhox_valbrand_nor_creatures_0	rhox_valbrand_NORSCA_creatures	0	2	2000	0		false	false			true	wh_main_NORSCA_creatures	false	0.0000	0	true	1		true	0	0		0		-1
rhox_valbrand_nor_creatures_1	rhox_valbrand_NORSCA_creatures	1	3	3500	0		false	false			true	wh_main_NORSCA_creatures	true	0.0000	0	true	2		true	0	0		0		-1
rhox_valbrand_nor_creatures_2	rhox_valbrand_NORSCA_creatures	2	4	5000	0		false	false			true	wh_main_NORSCA_creatures	true	0.0000	0	true	3		true	0	0		0		-1
rhox_valbrand_nor_creatures_2b	rhox_valbrand_NORSCA_creatures	2	3	0	0		false	false			true	wh_main_NORSCA_creatures	true	0.0000	0	true	3		true	0	0	wh3_dlc27_nor_spoils_building_750	0		2
rhox_valbrand_nor_creatures_3	rhox_valbrand_NORSCA_creatures	3	5	7000	0		false	false			true	wh_main_NORSCA_creatures	true	0.0000	0	true	4		true	0	0		0		1
rhox_valbrand_nor_loot_1	rhox_valbrand_NORSCA_loot	0	1	1000	0		false	false			true	wh_main_nor_loot	true	0.0000	0	true	1		true	0	0		0		-1
rhox_valbrand_nor_loot_2	rhox_valbrand_NORSCA_loot	1	2	2000	0		false	false			true	wh_main_nor_loot	true	0.0000	0	true	2		true	0	0		0		-1
rhox_valbrand_nor_loot_2b	rhox_valbrand_NORSCA_loot	1	1	0	0		false	false			true	wh_main_nor_loot	true	0.0000	0	true	2		true	0	0	wh3_dlc27_nor_spoils_building_200	0		-1
rhox_valbrand_nor_loot_3	rhox_valbrand_NORSCA_loot	2	3	4000	0		false	false			true	wh_main_nor_loot	true	0.0000	0	true	3		true	0	0		0		-1
rhox_valbrand_nor_loot_3b	rhox_valbrand_NORSCA_loot	2	2	0	0		false	false			true	wh_main_nor_loot	true	0.0000	0	true	3		true	0	0	wh3_dlc27_nor_spoils_building_600	0		-1
rhox_valbrand_nor_military_3b	rhox_valbrand_NORSCA_military	2	2	0	0		false	false			true	wh_main_NORSCA_military	true	0.0000	0	true	2		true	0	0	wh3_dlc27_nor_spoils_building_400	0		2
rhox_valbrand_nor_military_4	rhox_valbrand_NORSCA_military	3	4	3000	0		false	false			true	wh_main_NORSCA_military	false	0.0000	0	true	3		true	0	0		0		-1
