attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/rhox_iee_lccp	
causes_fear	hkrul_hrothyogg_crusher
encourages	hkrul_hrothyogg_crusher
hide_forest	hkrul_hrothyogg_crusher
ogre_charge	hkrul_hrothyogg_crusher
wallbreaker	hkrul_hrothyogg_crusher
encourages	hkrul_beorg_bear_sem
hide_forest	hkrul_beorg_bear_sem
causes_fear	hkrul_beorg_bear_sem
strider	hkrul_beorg_bear_sem
guerrilla_deploy	hkrul_beorg_bear_sem
ignore_trees	hkrul_beorg_bear_sem
encourages	hkrul_sceolan_attr
hide_forest	hkrul_sceolan_attr
mounted_fire_move	hkrul_sceolan_attr
ignore_trees	hkrul_sceolan_attr
causes_fear	hkrul_sceolan_dragon_attr
causes_terror	hkrul_sceolan_dragon_attr
encourages	hkrul_sceolan_dragon_attr
flying	hkrul_sceolan_dragon_attr
mounted_fire_move	hkrul_sceolan_dragon_attr
causes_fear	hkrul_slaurith
causes_terror	hkrul_slaurith
encourages	hkrul_slaurith
rampage	hkrul_slaurith
hide_forest	hkrul_slaurith
encourages	hkrul_valbrand_attributes
hide_forest	hkrul_valbrand_attributes
hide_forest	hkrul_volrik
hide_forest	hkrul_vroth
encourages	hkrul_vroth
hide_forest	hkrul_vroth_chariot
encourages	hkrul_vroth_chariot
causes_fear	hkrul_zach_attributes
encourages	hkrul_zach_attributes
hide_forest	hkrul_zach_attributes
undead	hkrul_zach_attributes
causes_fear	rhox_lccp_vmp_giant_attributes
causes_terror	rhox_lccp_vmp_giant_attributes
wallbreaker	rhox_lccp_vmp_giant_attributes
undead	rhox_lccp_vmp_giant_attributes
