feature	force_type
#military_force_type_feature_junctions_tables;0;db/military_force_type_feature_junctions_tables/rhox_iee_lccp	
character_bound	VALBRAND_HORDE
general_is_irreplaceable	VALBRAND_HORDE
fixed_camp	TORINUBAR_CARAVAN
general_is_irreplaceable	TORINUBAR_CARAVAN
resets_camera_after_battle	TORINUBAR_CARAVAN
strategic_threat_irrelevant	TORINUBAR_CARAVAN
unable_to_exchange_units	TORINUBAR_CARAVAN
unable_to_keep_faction_alive	TORINUBAR_CARAVAN
unable_to_recruit_units	TORINUBAR_CARAVAN
upkeep_exempt	TORINUBAR_CARAVAN
upkeep_exempt_in_limbo	TORINUBAR_CARAVAN
upkeep_increase_exempt	TORINUBAR_CARAVAN
