key	effects	duration	expended_cost	required_cost	image_path	upkeep_cost	point_cost
#initiatives_tables;6;db/initiatives_tables/rhox_valbrand							
rhox_valbrand_faction_initiative_chs_undivided_1_army_marauders	wh3_dlc20_faction_initiative_chs_undivided_1_army_marauders	-1	rhox_valbrand_initiative_slaves_und_t1	rhox_valbrand_initiative_slaves_und_t1	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_1.png	rhox_valbrand_initiative_slaves_und_upkeep_t1	0
rhox_valbrand_faction_initiative_chs_undivided_1_economy_building	wh3_dlc20_faction_initiative_chs_undivided_1_economy_building	-1	rhox_valbrand_initiative_slaves_und_t1	rhox_valbrand_initiative_slaves_und_t1	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_1.png	rhox_valbrand_initiative_slaves_und_upkeep_t1	0
rhox_valbrand_faction_initiative_chs_undivided_1_units_furies	wh3_dlc20_faction_initiative_chs_undivided_1_units_furies	-1	rhox_valbrand_initiative_slaves_und_t1	rhox_valbrand_initiative_slaves_und_t1	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_1.png	rhox_valbrand_initiative_slaves_und_upkeep_t1	0
rhox_valbrand_faction_initiative_chs_undivided_2_army_upgrades	wh3_dlc20_faction_initiative_chs_undivided_2_army_upgrades	-1	rhox_valbrand_initiative_slaves_und_t2	rhox_valbrand_initiative_slaves_und_t2_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_2.png	rhox_valbrand_initiative_slaves_und_upkeep_t2	0
rhox_valbrand_faction_initiative_chs_undivided_2_economy_vassals	wh3_dlc20_faction_initiative_chs_undivided_2_economy_vassals	-1	rhox_valbrand_initiative_slaves_und_t2	rhox_valbrand_initiative_slaves_und_t2_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_2.png	rhox_valbrand_initiative_slaves_und_upkeep_t2	0
rhox_valbrand_faction_initiative_chs_undivided_2_xp_sharing	wh3_dlc20_faction_initiative_chs_undivided_2_xp_sharing	-1	rhox_valbrand_initiative_slaves_und_t2	rhox_valbrand_initiative_slaves_und_t2_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_2.png	rhox_valbrand_initiative_slaves_und_upkeep_t2	0
rhox_valbrand_faction_initiative_chs_undivided_3_army_elites	wh3_dlc20_faction_initiative_chs_undivided_3_elites	-1	rhox_valbrand_initiative_slaves_und_t3	rhox_valbrand_initiative_slaves_und_t3_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_3.png	rhox_valbrand_initiative_slaves_und_upkeep_t3	0
rhox_valbrand_faction_initiative_chs_undivided_3_characters_marking	wh3_dlc20_faction_initiative_chs_undivided_3_characters_marking	-1	rhox_valbrand_initiative_slaves_und_t3	rhox_valbrand_initiative_slaves_und_t3_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_3.png	rhox_valbrand_initiative_slaves_und_upkeep_t3	0
rhox_valbrand_faction_initiative_chs_undivided_3_units_hellcannons	wh3_dlc20_faction_initiative_chs_undivided_3_units_hellcannons	-1	rhox_valbrand_initiative_slaves_und_t3	rhox_valbrand_initiative_slaves_und_t3_sacrifice_requirement_high	UI\skins\default\chaos_gifts\ritual_gift_undivided_rank_3.png	rhox_valbrand_initiative_slaves_und_upkeep_t3	0
