building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/rhox_valbrand	
wh3_main_nor_allied_outpost	rhox_valbrand_building_set
rhox_valbrand_NORSCA_beasts	rhox_valbrand_building_set
rhox_valbrand_NORSCA_chaos	rhox_valbrand_building_set
rhox_valbrand_NORSCA_creatures	rhox_valbrand_building_set
rhox_valbrand_NORSCA_loot	rhox_valbrand_building_set
rhox_valbrand_NORSCA_military	rhox_valbrand_building_set
rhox_valbrand_NORSCA_offerings	rhox_valbrand_building_set
rhox_valbrand_NORSCA_settlement_major	rhox_valbrand_building_set
rhox_valbrand_NORSCA_slaves	rhox_valbrand_building_set
rhox_valbrand_NORSCA_smith	rhox_valbrand_building_set
rhox_valbrand_NORSCA_stables	rhox_valbrand_building_set
rhox_valbrand_NORSCA_walls	rhox_valbrand_building_set
rhox_valbrand_NORSCA_worship	rhox_valbrand_building_set
